Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Norwood,Bergen,NJTPA,2017,500.35,124.31,67.94,1082.09,3.04,87.06,10213.39,3274.15,28.03,50.18,110.83,269.05,52.75,15863.17
Stanhope,Sussex,NJTPA,2017,233.59,58.03,55.87,979.2,35.25,98.94,10627.76,2962.84,55.49,136.29,167.22,406.47,43.47,15860.43
Independence,Warren,NJTPA,2017,494.55,122.86,341.66,981.61,13.67,128.26,9736.02,2970.12,22.5,430.37,86.98,211.13,265.4,15805.14
Brielle,Monmouth,NJTPA,2019,1775.33,424.88,128.03,530.61,24.78,81.74,10085.33,1494.72,132.55,124.91,254.97,643.87,102.38,15804.11
Belvidere,Warren,NJTPA,2019,1772.79,424.27,127.85,529.85,24.74,81.62,10070.89,1492.58,132.36,124.73,254.61,642.95,102.23,15781.49
Pennington,Mercer,DVRPC,2019,599.28,240.9,206.64,657.12,38.48,100.86,5390.33,5718.51,212.88,174.9,444.09,709.46,96.36,15650.18
Bordentown,Burlington,DVRPC,2015,403.51,1248.36,93.43,1284.41,42.19,64.92,6266.37,6913.51,109.41,104.86,401.03,794.34,60.73,15598.74
Fair Haven,Monmouth,NJTPA,2019,1742.75,417.08,125.68,520.88,24.32,80.24,9900.28,1467.3,130.12,122.62,250.29,632.06,100.5,15514.13
Clementon,Camden,DVRPC,2019,592.42,238.14,204.28,649.59,38.04,99.71,5328.58,5652.99,210.44,172.9,439,701.33,95.25,15470.88
Boonton,Morris,NJTPA,2019,1735.29,415.3,125.15,518.65,24.22,79.89,9857.87,1461.01,129.56,122.1,249.22,629.35,100.07,15447.68
Boonton,Morris,NJTPA,2017,350.78,87.15,107.22,824.66,7.19,83.09,10839.49,2495.22,28.21,176.19,98.99,240.27,83.07,15421.52
Salem,Salem,SJTPO,2020,253.19,296.86,103.44,771.43,6.25,100.31,5078.71,6058.79,32.38,171.97,183.19,614.46,83.75,15387.4
Salem,Salem,SJTPO,2015,1603.19,249.96,186.16,624.66,70.4,130.81,4738.33,9091,89.36,259.57,772.09,568.62,82.18,15357.09
Union,Hunterdon,NJTPA,2019,1719.69,411.56,124.02,513.99,24,79.18,9769.29,1447.88,128.4,121,246.98,623.69,99.17,15308.86
Holland,Hunterdon,NJTPA,2019,1718.63,411.31,123.95,513.67,23.99,79.13,9763.26,1446.99,128.32,120.92,246.83,623.31,99.11,15299.41
Estell Manor,Atlantic,SJTPO,2020,592.01,279.87,228.02,817.13,5.06,84.09,5554.07,5259.98,48.78,84.59,373.5,731.29,105.07,15275.8
Somerdale,Camden,DVRPC,2015,394.44,1220.3,91.33,1255.54,41.25,63.46,6125.51,6758.1,106.96,102.5,392.01,776.49,59.37,15248.1
High Bridge,Hunterdon,NJTPA,2017,218.77,54.35,44.27,812.09,19.84,106.59,10733.61,2457.2,34.27,125.67,131.76,320.32,33.77,15092.51
Dunellen,Middlesex,NJTPA,2017,656.25,163.04,89.4,534.37,9.56,43.23,10860.38,1616.89,59.23,105.33,231.05,561,69.53,14999.25
Mendham,Morris,NJTPA,2017,274.92,68.3,100.81,729.9,6.56,84.92,10869.91,2208.51,25.72,165.66,90.26,219.09,78.11,14922.67
Fairfield,Cumberland,SJTPO,2015,1729.03,282.16,346.39,723.94,67.74,100.71,4785.51,8080.14,109.19,511.63,867.06,726.16,156.06,14905.39
Westville,Gloucester,DVRPC,2015,384.2,1188.63,88.96,1222.95,40.17,61.81,5966.53,6582.71,104.18,99.84,381.84,756.33,57.82,14852.35
Delaware,Hunterdon,NJTPA,2017,412.95,102.59,41.23,795.47,17.01,102.15,10359.44,2406.9,29.38,117.06,112.96,274.6,31.46,14803.2
Harrington Park,Bergen,NJTPA,2017,405.66,100.78,63.06,1039.65,2.49,74.64,9529.24,3145.72,22.99,46.58,90.9,220.65,48.96,14791.3
Norwood,Bergen,NJTPA,2019,1637.29,391.84,118.08,489.36,22.85,75.38,9301.14,1378.5,122.25,115.2,235.15,593.81,94.42,14575.26
Haledon,Passaic,NJTPA,2017,323.01,80.25,161.95,700.59,3.41,59.18,10503.09,2119.83,19.74,188.39,65.42,158.78,126.12,14509.77
Gibbsboro,Camden,DVRPC,2019,553.86,222.64,190.98,607.31,35.57,93.22,4981.76,5285.05,196.74,161.65,410.43,655.68,89.05,14463.93
Lafayette,Sussex,NJTPA,2019,1620.83,387.9,116.89,484.44,22.62,74.62,9207.68,1364.65,121.02,114.04,232.78,587.84,93.47,14428.8
Harding,Morris,NJTPA,2017,3370.56,837.38,41.06,372.25,26.48,26.33,7031.82,1126.33,107.28,66.67,385.24,934.9,31.83,14358.1
Spring Lake Heights,Monmouth,NJTPA,2017,117.57,29.21,42.72,605.71,7.66,107.18,11197.27,1832.74,26.16,111.26,70.53,171.27,33.46,14352.73
Brielle,Monmouth,NJTPA,2017,248.61,61.76,38.5,615.83,16.2,87.33,10556.12,1863.36,55.31,100.28,149.13,362.14,30.16,14184.73
Fanwood,Union,NJTPA,2017,744.5,184.96,240.6,537.22,1.07,145.21,10112.4,1625.51,9.29,258.42,40.37,97.97,186,14183.52
Lebanon,Hunterdon,NJTPA,2017,1373.65,341.27,50.68,616.59,36.54,91.55,8653.28,1865.65,63.11,143.88,242.65,589.9,38.67,14107.42
Delanco,Burlington,DVRPC,2019,540.19,217.15,186.27,592.33,34.69,90.92,4858.84,5154.65,191.89,157.66,400.3,639.51,86.85,14107.05
Belmar,Monmouth,NJTPA,2017,155.51,38.64,29.08,626.39,7.44,122.5,10844.48,1895.31,25.4,75.75,68.5,166.34,22.78,14078.14
Pohatcong,Warren,NJTPA,2017,2533.13,629.33,139.68,644.72,23.34,91.34,7094.62,1950.77,38.41,175.94,148.48,360.43,108.5,13938.68
Ho-Ho-Kus,Bergen,NJTPA,2019,1559.19,373.15,112.45,466.01,21.76,71.79,8857.48,1312.75,116.41,109.71,223.93,565.48,89.91,13880.02
Hamburg,Sussex,NJTPA,2019,1557.98,372.86,112.36,465.65,21.74,71.73,8850.6,1311.73,116.32,109.62,223.75,565.04,89.84,13869.24
Pennington,Mercer,DVRPC,2015,357.72,1106.71,82.83,1138.66,37.41,57.55,5555.32,6129.03,97,92.96,355.52,704.21,53.84,13828.74
High Bridge,Hunterdon,NJTPA,2019,1546.87,370.2,111.56,462.33,21.59,71.22,8787.51,1302.38,115.49,108.84,222.16,561.02,89.2,13770.38
Farmingdale,Monmouth,NJTPA,2017,197.03,48.95,11.48,473.77,28.99,179.15,10333.86,1433.52,98.96,29.9,266.84,647.97,8.99,13759.41
Guttenberg,Hudson,NJTPA,2019,1535.87,367.57,110.76,459.04,21.44,70.71,8725.02,1293.12,114.67,108.07,220.58,557.03,88.57,13672.45
Harding,Morris,NJTPA,2019,1534.24,367.18,110.65,458.56,21.41,70.64,8715.77,1291.74,114.55,107.95,220.35,556.44,88.47,13657.95
North Caldwell,Essex,NJTPA,2017,382.29,94.98,223.15,595.11,0.42,136.68,9980.61,1800.68,9.83,157.04,27.8,67.44,173.94,13649.98
Haworth,Bergen,NJTPA,2019,1532.98,366.88,110.56,458.18,21.4,70.58,8708.58,1290.68,114.46,107.86,220.16,555.98,88.4,13646.69
Swedesboro,Gloucester,DVRPC,2019,522.35,209.98,180.12,572.77,33.54,87.92,4698.39,4984.44,185.55,152.45,387.08,618.39,83.99,13641.22
Alloway,Salem,SJTPO,2020,224.4,263.11,91.68,683.72,5.54,88.91,4501.32,5369.98,28.7,152.42,162.36,544.6,74.23,13638.04
Magnolia,Camden,DVRPC,2019,519.61,208.87,179.17,569.76,33.37,87.45,4673.71,4958.25,184.58,151.65,385.05,615.14,83.55,13569.54
Independence,Warren,NJTPA,2019,1519.99,363.77,109.62,454.3,21.21,69.98,8634.82,1279.75,113.49,106.95,218.3,551.27,87.65,13531.11
Demarest,Bergen,NJTPA,2017,469.42,116.62,61.65,986.57,2.31,58.3,8301.22,2985.13,21.27,45.54,84.13,204.22,47.86,13384.24
Lower Alloways Creek,Salem,SJTPO,2020,219.07,256.86,89.5,667.48,5.41,86.8,4394.4,5242.42,28.02,148.8,158.5,531.67,72.47,13314.08
Alexandria,Hunterdon,NJTPA,2019,1495.33,357.87,107.84,446.93,20.87,68.85,8494.69,1258.98,111.65,105.21,214.76,542.32,86.23,13311.51
North Caldwell,Essex,NJTPA,2019,1483.26,354.98,106.97,443.32,20.7,68.29,8426.15,1248.82,110.75,104.36,213.02,537.95,85.53,13204.11
Lawnside,Camden,DVRPC,2015,338.43,1047.04,78.36,1077.28,35.39,54.45,5255.82,5798.6,91.77,87.95,336.35,666.24,50.94,13083.19
Springfield,Burlington,DVRPC,2015,337.59,1044.42,78.17,1074.58,35.3,54.31,5242.67,5784.09,91.54,87.73,335.51,664.58,50.81,13050.47
South Harrison,Gloucester,DVRPC,2019,498.41,200.35,171.86,546.51,32.01,83.89,4483.01,4755.94,177.05,145.46,369.34,590.04,80.14,13015.86
West Amwell,Hunterdon,NJTPA,2017,1591.62,395.42,34.63,417.04,90.45,42.3,6787.08,1261.86,156.22,98.3,600.64,1460.18,26.42,12962.15
South Bound Brook,Somerset,NJTPA,2019,1455.86,348.42,104.99,435.13,20.32,67.03,8270.5,1225.75,108.7,102.44,209.09,528.01,83.95,12960.2
Union Beach,Monmouth,NJTPA,2017,149.28,37.09,27.89,485.57,14.49,115.47,9928.87,1469.23,49.46,72.64,133.37,323.86,21.85,12829.07
Neptune,Monmouth,NJTPA,2017,140.36,34.87,38.31,542.3,8.94,103.36,9866.07,1640.87,30.52,99.77,82.3,199.85,30.01,12817.53
Glen Ridge,Essex,NJTPA,2017,480.99,119.5,276.19,441.1,0.39,134.93,9395.98,1334.65,9.1,194.37,25.72,62.39,215.29,12690.58
Estell Manor,Atlantic,SJTPO,2015,1196.26,703.5,222.26,756.48,37.14,71.93,4355.01,6566.67,98.08,189.71,280.91,755.09,100.38,12649.08
Bradley Beach,Monmouth,NJTPA,2019,1412,337.93,101.83,422.02,19.71,65.01,8021.35,1188.83,105.43,99.35,202.79,512.1,81.43,12569.78
Clementon,Camden,DVRPC,2015,324.39,1003.58,75.11,1032.56,33.92,52.19,5037.65,5557.89,87.96,84.3,322.39,638.59,48.82,12540.1
Mine Hill,Morris,NJTPA,2019,1407.12,336.76,101.48,420.56,19.64,64.79,7993.62,1184.72,105.06,99.01,202.09,510.33,81.14,12526.31
Fair Haven,Monmouth,NJTPA,2017,118.55,29.45,39.12,529.89,7.02,105.64,9695.62,1603.33,23.96,101.9,64.6,156.88,30.65,12506.62
Ho-Ho-Kus,Bergen,NJTPA,2017,1022.76,254.09,47.66,667.88,2.91,36.37,7969.46,2020.86,26.85,35.2,106.18,257.75,37,12484.98
Lawrence,Cumberland,SJTPO,2020,299.09,261.23,507.89,650.05,7.16,100.81,4200.14,4374.46,45.76,225.56,321.12,719.61,122.64,12481.42
Glen Ridge,Essex,NJTPA,2019,1401.56,335.43,101.08,418.9,19.56,64.53,7962.03,1180.03,104.65,98.62,201.29,508.32,80.82,12476.81
Upper Freehold,Monmouth,NJTPA,2019,1384.32,331.3,99.83,413.75,19.32,63.74,7864.06,1165.52,103.36,97.4,198.81,502.06,79.83,12323.3
Demarest,Bergen,NJTPA,2019,1383.52,331.11,99.78,413.51,19.31,63.7,7859.54,1164.85,103.3,97.35,198.7,501.77,79.78,12316.21
Old Tappan,Bergen,NJTPA,2019,1378.22,329.84,99.4,411.92,19.24,63.45,7829.41,1160.38,102.9,96.97,197.94,499.85,79.48,12268.99
Bogota,Bergen,NJTPA,2017,1651.75,410.36,40.7,572.12,4.56,33.99,7111.1,1731.1,42.02,30.07,166.15,403.34,31.6,12228.87
Franklin,Warren,NJTPA,2017,455.61,113.19,199.63,728.45,9.29,149.9,7668.62,2204.13,15.29,251.46,59.1,143.46,155.07,12153.21
Mount Ephraim,Camden,DVRPC,2015,311.88,964.89,72.22,992.75,32.61,50.18,4843.45,5343.64,84.57,81.05,309.96,613.97,46.94,12056.69
South Harrison,Gloucester,DVRPC,2015,311.38,963.33,72.1,991.15,32.56,50.1,4835.62,5335,84.43,80.92,309.46,612.98,46.86,12037.2
Wrightstown,Burlington,DVRPC,2015,310.88,961.8,71.98,989.57,32.51,50.02,4827.92,5326.51,84.3,80.79,308.97,612,46.79,12018.04
Lafayette,Sussex,NJTPA,2017,228.34,56.73,35.36,849.04,35.31,83.38,7367.5,2569,54.94,89.72,165,401.09,27.53,11962.94
Stanhope,Sussex,NJTPA,2019,1335.77,319.68,96.33,399.24,18.64,61.5,7588.27,1124.64,99.73,93.99,191.84,484.45,77.03,11891.12
Commercial,Cumberland,SJTPO,2020,284.32,248.34,482.82,617.95,6.81,95.84,3992.78,4158.49,43.5,214.42,305.26,684.08,116.58,11865.19
Woodland,Burlington,DVRPC,2015,305.95,946.55,70.84,973.88,31.99,49.22,4751.36,5242.04,82.96,79.51,304.07,602.3,46.05,11827.45
Oxford,Warren,NJTPA,2017,891.85,221.57,207.52,654.87,16.08,114.1,6921.5,1981.5,26.47,261.39,102.32,248.38,161.2,11808.75
Delanco,Burlington,DVRPC,2015,305.02,943.67,70.63,970.92,31.9,49.07,4736.92,5226.11,82.71,79.26,303.15,600.47,45.91,11791.51
Swedesboro,Gloucester,DVRPC,2015,304.54,942.18,70.52,969.38,31.85,48.99,4729.43,5217.84,82.58,79.14,302.67,599.52,45.84,11772.86
Stillwater,Sussex,NJTPA,2017,104.23,25.9,18.13,799.54,19.23,105.39,7864.21,2419.22,29.91,46.01,89.85,218.41,14.12,11754.15
Oaklyn,Camden,DVRPC,2019,447.12,179.74,154.18,490.27,28.71,75.25,4021.71,4266.56,158.83,130.5,331.33,529.33,71.89,11676.55
Hamburg,Sussex,NJTPA,2017,227.7,56.57,29.25,827.57,34.05,79.97,7148.75,2504.02,52.97,74.21,159.11,386.77,22.77,11603.72
Deerfield,Cumberland,SJTPO,2015,1338.82,218.48,268.22,560.56,52.45,77.98,3705.51,6256.6,84.55,396.17,671.38,562.28,120.84,11541.52
Margate City,Atlantic,SJTPO,2020,447.18,211.4,172.24,617.22,3.82,63.51,4195.27,3973.13,36.85,63.9,282.12,552.38,79.37,11538.59
Atlantic Highlands,Monmouth,NJTPA,2017,168.38,41.83,18.13,470.41,12.99,120.13,8743.52,1423.35,44.35,47.22,119.59,290.4,14.2,11514.51
Woodbury Heights,Gloucester,DVRPC,2015,296.97,918.76,68.76,945.29,31.05,47.78,4611.86,5088.14,80.53,77.17,295.14,584.61,44.7,11480.2
Prospect Park,Passaic,NJTPA,2019,1286.07,307.79,92.75,384.38,17.95,59.21,7305.94,1082.8,96.02,90.49,184.7,466.43,74.16,11448.69
Stillwater,Sussex,NJTPA,2019,1282.75,306.99,92.51,383.39,17.9,59.06,7287.09,1080,95.77,90.26,184.23,465.23,73.97,11419.15
Ogdensburg,Sussex,NJTPA,2019,1276.45,305.49,92.06,381.51,17.81,58.77,7251.32,1074.7,95.3,89.81,183.32,462.94,73.61,11363.1
Medford Lakes,Burlington,DVRPC,2019,434.16,174.52,149.71,476.06,27.88,73.07,3905.08,4142.83,154.22,126.71,321.72,513.97,69.81,11337.92
Fredon,Sussex,NJTPA,2017,321.49,79.87,28.74,724.48,46.5,78.7,6918.25,2192.11,72.35,72.92,217.31,528.24,22.38,11303.33
Merchantville,Camden,DVRPC,2019,431.95,173.64,148.94,473.64,27.74,72.7,3885.24,4121.78,153.44,126.07,320.09,511.36,69.45,11280.31
Deerfield,Cumberland,SJTPO,2020,268.08,234.15,455.23,582.64,6.42,90.36,3764.62,3920.87,41.02,202.17,287.82,644.99,109.92,11187.2
Brigantine,Atlantic,SJTPO,2020,429.95,203.25,165.6,593.45,3.67,61.07,4033.65,3820.07,35.43,61.44,271.25,531.1,76.31,11094.07
Hopewell,Mercer,DVRPC,2019,421.29,169.35,145.27,461.95,27.05,70.91,3789.36,4020.07,149.65,122.96,312.19,498.74,67.74,11001.96
Kingwood,Hunterdon,NJTPA,2019,1231.87,294.82,88.84,368.18,17.19,56.72,6998.04,1037.16,91.98,86.68,176.92,446.77,71.04,10966.21
Lakehurst,Ocean,NJTPA,2019,1227.78,293.84,88.55,366.96,17.14,56.53,6974.83,1033.72,91.67,86.39,176.33,445.29,70.8,10929.84
Oxford,Warren,NJTPA,2019,1226.18,293.46,88.43,366.48,17.11,56.45,6965.74,1032.38,91.55,86.28,176.1,444.71,70.71,10915.6
Monmouth Beach,Monmouth,NJTPA,2019,1224.25,292.99,88.29,365.91,17.09,56.37,6954.74,1030.75,91.41,86.14,175.83,444.01,70.6,10898.36
Hopewell,Cumberland,SJTPO,2020,260.93,227.9,443.09,567.1,6.25,87.95,3664.21,3816.29,39.92,196.78,280.14,627.79,106.99,10888.81
Medford Lakes,Burlington,DVRPC,2015,279.17,863.68,64.64,888.62,29.19,44.91,4335.38,4783.1,75.7,72.54,277.45,549.57,42.02,10791.97
Alpha,Warren,NJTPA,2017,4395.96,1092.13,49.19,197.14,33.54,9.18,3386.4,596.49,55.19,61.96,213.4,518,38.21,10646.78
