Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Commercial,Cumberland,SJTPO,2015,1126.61,183.85,225.71,471.71,44.14,65.62,3118.17,5264.91,71.15,333.37,564.96,473.15,101.69,9712.15
Liberty,Warren,NJTPA,2017,395.45,98.24,172.58,602.55,9.39,106.87,5899.69,1823.17,15.44,217.39,59.71,144.94,134.06,9679.48
Lawrence,Cumberland,SJTPO,2015,1117.04,182.29,223.79,467.7,43.77,65.07,3091.69,5220.19,70.55,330.54,560.16,469.14,100.82,9629.66
Hope,Warren,NJTPA,2017,3159.65,784.98,44.87,245.7,26.46,21.94,3735.25,743.44,43.54,56.53,168.33,408.59,34.86,9474.13
Bass River,Burlington,DVRPC,2019,360.66,144.98,124.36,395.47,23.16,60.7,3244.05,3441.55,128.12,105.26,267.26,426.97,57.99,9418.7
Montague,Sussex,NJTPA,2017,180.01,44.72,25.71,708.44,25.65,69.55,5679.9,2143.59,39.91,65.25,119.86,291.35,20.02,9413.96
Shiloh,Cumberland,SJTPO,2020,225.51,196.97,382.95,490.14,5.4,76.01,3166.94,3298.38,34.5,170.07,242.12,542.59,92.47,9411.08
Hopewell,Cumberland,SJTPO,2015,1088.17,177.58,218,455.62,42.63,63.38,3011.78,5085.28,68.72,322,545.69,457.01,98.22,9380.79
Gibbsboro,Camden,DVRPC,2015,241.87,748.31,56.01,769.92,25.29,38.91,3756.27,4144.19,65.59,62.85,240.39,476.16,36.4,9350.39
Harmony,Warren,NJTPA,2017,276.26,68.63,121.35,566.6,13.84,78.53,5891.24,1714.39,22.77,152.86,88.04,213.69,94.26,9302.45
Oaklyn,Camden,DVRPC,2015,236.73,732.38,54.81,753.53,24.75,38.09,3676.3,4055.96,64.19,61.52,235.27,466.02,35.63,9151.33
Harmony,Warren,NJTPA,2019,1024.54,245.2,73.89,306.22,14.3,47.17,5820.22,862.6,76.5,72.09,147.14,371.58,59.08,9120.52
South Bound Brook,Somerset,NJTPA,2017,143.28,35.6,45.62,397.41,7.38,35.4,6633.18,1202.48,34.35,69.7,134.42,325.99,35.45,9100.26
Englishtown,Monmouth,NJTPA,2019,1011.82,242.15,72.97,302.41,14.12,46.58,5747.95,851.89,75.55,71.19,145.32,366.96,58.35,9007.26
Lambertville,Hunterdon,NJTPA,2019,1007.97,241.23,72.69,301.26,14.07,46.41,5726.08,848.65,75.26,70.92,144.76,365.57,58.13,8972.99
Newfield,Gloucester,DVRPC,2019,340.86,137.02,117.54,373.76,21.89,57.37,3065.92,3252.58,121.08,99.48,252.59,403.53,54.81,8901.54
Frenchtown,Hunterdon,NJTPA,2017,140.03,34.79,32.67,489.22,11.4,72.19,6230.63,1480.26,19.69,92.74,75.69,184,24.93,8888.23
Northvale,Bergen,NJTPA,2017,264.96,65.83,38.92,588.98,2.02,49.17,5730.2,1782.13,18.65,28.75,73.77,179.08,30.22,8852.7
Merchantville,Camden,DVRPC,2015,226.79,701.64,52.51,721.9,23.72,36.49,3522.02,3885.75,61.5,58.93,225.4,446.46,34.13,8767.29
Monmouth Beach,Monmouth,NJTPA,2017,79.39,19.72,21.72,345.67,8.19,67.83,6739.02,1045.93,27.96,56.56,75.38,183.05,17.01,8687.44
Margate City,Atlantic,SJTPO,2015,821.49,483.1,152.63,519.49,25.5,49.4,2990.65,4509.43,67.36,130.28,192.91,518.53,68.93,8686.32
Shiloh,Cumberland,SJTPO,2015,1007.58,164.43,201.86,421.87,39.48,58.69,2788.72,4708.64,63.63,298.15,505.27,423.16,90.94,8686
Spring Lake,Monmouth,NJTPA,2017,38.74,9.62,9.91,307.27,0.47,126.57,7203.55,929.73,1.62,25.82,4.36,10.59,7.77,8676.03
Spring Lake,Monmouth,NJTPA,2019,973.64,233.02,70.22,291,13.59,44.83,5531.09,819.75,72.7,68.51,139.83,353.12,56.15,8667.43
Bradley Beach,Monmouth,NJTPA,2017,92.38,22.95,24.78,418.66,3.09,48.07,6524.61,1266.76,10.55,64.54,28.46,69.1,19.41,8593.38
Delaware,Hunterdon,NJTPA,2019,961.09,230.01,69.31,287.25,13.41,44.25,5459.77,809.18,71.76,67.62,138.03,348.57,55.42,8555.68
Tuckerton,Ocean,NJTPA,2017,187.1,46.48,61.85,411.14,27.2,55.65,5963.36,1244.02,66.06,78.61,97.54,236.8,47.93,8523.73
Ship Bottom,Ocean,NJTPA,2019,955.28,228.62,68.89,285.52,13.33,43.98,5426.79,804.29,71.32,67.21,137.2,346.46,55.09,8503.99
Hopewell,Mercer,DVRPC,2015,218.8,676.92,50.66,696.47,22.88,35.2,3397.92,3748.82,59.33,56.86,217.45,430.73,32.93,8458.35
South Toms River,Ocean,NJTPA,2019,941.46,225.31,67.9,281.39,13.14,43.35,5348.3,792.66,70.29,66.24,135.21,341.45,54.29,8381
Eagleswood,Ocean,NJTPA,2017,569.23,141.42,58.71,336.39,35.05,74.5,5386.9,1017.84,85.14,74.62,125.69,305.17,45.49,8256.15
Prospect Park,Passaic,NJTPA,2017,184.49,45.83,82.99,395.14,1.98,39.46,5995.39,1195.62,11.44,96.54,37.92,92.04,64.63,8243.46
Woodstown,Salem,SJTPO,2020,134.3,157.47,54.87,409.2,3.32,53.21,2694.01,3213.89,17.18,91.22,97.17,325.94,44.43,8162.27
Knowlton,Warren,NJTPA,2019,913.72,218.67,65.9,273.09,12.75,42.07,5190.66,769.3,68.22,64.29,131.23,331.38,52.69,8133.97
Frelinghuysen,Warren,NJTPA,2017,2727.93,677.73,45.43,225.71,22.95,23,3078.14,682.95,37.76,57.23,145.98,354.35,35.29,8114.45
Brooklawn,Camden,DVRPC,2019,310.7,124.89,107.13,340.68,19.95,52.29,2794.61,2964.75,110.37,90.68,230.24,367.82,49.96,8113.81
Riverton,Burlington,DVRPC,2019,309.9,124.58,106.86,339.81,19.9,52.16,2787.47,2957.18,110.09,90.45,229.65,366.88,49.83,8093.08
National Park,Gloucester,DVRPC,2015,207.01,640.44,47.93,658.94,21.65,33.3,3214.82,3546.82,56.13,53.79,205.74,407.52,31.16,8002.58
Wenonah,Gloucester,DVRPC,2019,304.34,122.34,104.94,333.71,19.54,51.22,2737.44,2904.1,108.11,88.82,225.53,360.29,48.93,7947.82
Tuckerton,Ocean,NJTPA,2019,891.29,213.31,64.28,266.39,12.44,41.04,5063.24,750.41,66.55,62.71,128.01,323.25,51.4,7934.3
North Wildwood,Cape May,SJTPO,2020,222.69,129.37,106.32,446.32,5.25,59.97,2485.79,2964.61,31.15,33.21,338.37,477.85,46.58,7894.39
Englishtown,Monmouth,NJTPA,2017,90.63,22.52,30.24,277.09,9.31,66.98,6049.22,838.42,31.79,78.77,85.72,208.15,23.69,7812.55
Milford,Hunterdon,NJTPA,2017,91.7,22.78,32.28,432.67,10.04,61.68,5460.86,1309.16,17.33,91.63,66.65,162.03,24.63,7783.43
Liberty,Warren,NJTPA,2019,866.35,207.34,62.48,258.94,12.09,39.89,4921.58,729.42,64.68,60.96,124.42,314.21,49.96,7712.31
Sea Girt,Monmouth,NJTPA,2017,35.07,8.71,7.92,260.77,6.24,110.21,6215.95,789.02,21.3,20.63,57.43,139.46,6.2,7678.92
Eagleswood,Ocean,NJTPA,2019,860.66,205.98,62.07,257.24,12.01,39.63,4889.28,724.63,64.26,60.56,123.61,312.14,49.63,7661.7
Sea Girt,Monmouth,NJTPA,2019,859.58,205.72,61.99,256.91,12,39.58,4883.14,723.72,64.18,60.48,123.45,311.75,49.57,7652.06
Corbin City,Atlantic,SJTPO,2020,295.63,139.76,113.87,408.05,2.53,41.99,2773.5,2626.64,24.36,42.24,186.51,365.18,52.47,7628.16
Woodbine,Cape May,SJTPO,2020,214.94,124.87,102.62,430.78,5.07,57.88,2399.27,2861.42,30.06,32.05,326.6,461.21,44.96,7619.61
Green,Somerset,NJTPA,2019,840.51,201.15,60.62,251.21,11.73,38.7,4774.77,707.66,62.76,59.14,120.71,304.83,48.47,7482.25
Sandyston,Sussex,NJTPA,2017,135.64,33.7,26.72,542.68,19.18,45.93,4589.69,1642.01,29.83,67.8,89.6,217.81,20.81,7461.41
Helmetta,Middlesex,NJTPA,2019,837.98,200.55,60.43,250.46,11.7,38.58,4760.44,705.53,62.57,58.96,120.35,303.92,48.32,7459.8
Shrewsbury,Monmouth,NJTPA,2019,837.73,200.49,60.42,250.38,11.69,38.57,4759.03,705.32,62.55,58.94,120.31,303.83,48.31,7457.58
Brooklawn,Camden,DVRPC,2015,186.11,575.79,43.09,592.41,19.46,29.94,2890.25,3188.74,50.47,48.36,184.97,366.38,28.01,7194.65
Hope,Warren,NJTPA,2019,793.59,189.92,57.23,237.19,11.08,36.54,4508.24,668.16,59.25,55.84,113.97,287.82,45.76,7064.59
Avalon,Cape May,SJTPO,2020,198.51,115.33,94.78,397.86,4.68,53.46,2215.93,2642.76,27.76,29.6,301.64,425.97,41.52,7037.35
Riverton,Burlington,DVRPC,2015,177.05,547.75,41,563.57,18.51,28.48,2749.53,3033.48,48.01,46.01,175.96,348.54,26.65,6844.34
Woodstown,Salem,SJTPO,2015,713.89,111.31,82.89,278.15,31.35,58.25,2109.93,4048.14,39.79,115.58,343.81,253.2,36.6,6838.37
Newfield,Gloucester,DVRPC,2015,174.67,540.38,40.44,555.99,18.26,28.1,2712.54,2992.67,47.36,45.39,173.59,343.85,26.29,6752.27
Woodland,Burlington,DVRPC,2019,256.48,103.1,88.44,281.24,16.47,43.17,2306.99,2447.44,91.11,74.86,190.06,303.64,41.24,6698.07
Ogdensburg,Sussex,NJTPA,2017,32.19,8,0.12,378.81,12.08,68.76,4767.13,1146.2,18.79,0.3,56.43,137.17,0.09,6626.07
East Newark,Hudson,NJTPA,2017,410.33,101.94,129.32,219.75,0.73,29.04,4543.32,664.91,27.01,78.45,80.85,196.28,100.16,6582.1
Sea Isle City,Cape May,SJTPO,2020,185.49,107.76,88.56,371.76,4.37,49.95,2070.54,2469.37,25.94,27.66,281.85,398.02,38.8,6575.62
Sea Bright,Monmouth,NJTPA,2019,738,176.62,53.22,220.58,10.3,33.98,4192.46,621.36,55.1,51.93,105.99,267.66,42.56,6569.75
Montague,Sussex,NJTPA,2019,725.93,173.73,52.35,216.97,10.13,33.42,4123.86,611.19,54.2,51.08,104.26,263.28,41.86,6462.26
Alpine,Bergen,NJTPA,2017,1015.15,252.2,29.62,218.92,5.07,11.9,3458.46,662.41,46.74,21.88,184.83,448.69,23,6378.88
Wenonah,Gloucester,DVRPC,2015,161.73,500.37,37.45,514.81,16.91,26.02,2511.67,2771.06,43.86,42.03,160.74,318.39,24.34,6252.25
West Amwell,Hunterdon,NJTPA,2019,696.57,166.71,50.24,208.19,9.72,32.07,3957.11,586.47,52.01,49.01,100.04,252.63,40.17,6200.94
Elmer,Salem,SJTPO,2020,98.51,115.5,40.24,300.14,2.43,39.03,1975.96,2357.27,12.6,66.91,71.27,239.07,32.58,5986.72
Woodbine,Cape May,SJTPO,2015,329.2,380.45,124.4,412.15,53.19,35.75,2037.71,3277.36,85,77.17,102,494.94,57.08,5918.5
Ship Bottom,Ocean,NJTPA,2017,136.34,33.87,38.83,332.87,12.42,42.53,3953.18,1007.17,30.17,49.36,44.54,108.14,30.09,5819.51
South Toms River,Ocean,NJTPA,2017,104.98,26.08,37.98,251.65,10.43,35.67,4343.14,761.42,25.34,48.28,37.41,90.82,29.43,5802.63
Beverly,Burlington,DVRPC,2019,219.86,88.38,75.81,241.08,14.12,37,1977.59,2097.99,78.1,64.17,162.93,260.28,35.35,5741.69
Lavallette,Ocean,NJTPA,2019,643.68,154.05,46.42,192.38,8.98,29.64,3656.61,541.94,48.06,45.29,92.44,233.45,37.12,5730.05
Glen Gardner,Hunterdon,NJTPA,2019,640.55,153.3,46.2,191.45,8.94,29.49,3638.87,539.31,47.83,45.07,92,232.31,36.94,5702.25
Cape May,Cape May,SJTPO,2020,160.39,93.18,76.58,321.46,3.78,43.19,1790.38,2135.24,22.43,23.92,243.71,344.17,33.55,5685.89
Helmetta,Middlesex,NJTPA,2017,152.95,38,32.45,242.55,1.51,22.88,4251.83,733.89,9.35,38.24,36.49,88.59,25.24,5673.95
Frenchtown,Hunterdon,NJTPA,2019,630.01,150.78,45.44,188.3,8.79,29.01,3579,530.44,47.04,44.33,90.48,228.49,36.33,5608.44
Penns Grove,Salem,SJTPO,2020,91.22,106.95,37.27,277.94,2.25,36.14,1829.82,2182.94,11.67,61.96,66,221.39,30.17,5543.98
Penns Grove,Salem,SJTPO,2015,577.16,89.99,67.02,224.88,25.34,47.09,1705.82,3272.8,32.17,93.45,277.96,204.71,29.59,5528.62
Pemberton,Burlington,DVRPC,2019,211.53,85.03,72.94,231.95,13.58,35.6,1902.67,2018.51,75.14,61.74,156.75,250.42,34.01,5524.17
Bloomsbury,Hunterdon,NJTPA,2017,1437.02,357.01,16.19,143.61,31.45,20.68,2236.19,434.54,54.31,45.96,208.82,507.65,12.35,5505.78
North Wildwood,Cape May,SJTPO,2015,305.56,353.13,115.46,382.55,49.37,33.19,1891.35,3041.97,78.89,71.62,94.68,459.39,52.98,5493.41
Hampton,Hunterdon,NJTPA,2019,614.4,147.04,44.31,183.63,8.57,28.29,3490.28,517.29,45.87,43.23,88.24,222.83,35.43,5469.4
Glen Gardner,Hunterdon,NJTPA,2017,348.78,86.65,29.9,204.97,12.66,12.95,3734.8,620.2,21.86,84.9,84.06,204.36,22.82,5468.91
Laurel Springs,Camden,DVRPC,2019,207.13,83.26,71.42,227.12,13.3,34.86,1863.05,1976.48,73.58,60.45,153.49,245.21,33.3,5409.14
Frelinghuysen,Warren,NJTPA,2019,606.42,145.13,43.73,181.25,8.46,27.92,3444.98,510.57,45.28,42.67,87.09,219.94,34.97,5398.41
Avon-by-the-Sea,Monmouth,NJTPA,2019,604.81,144.75,43.62,180.77,8.44,27.85,3435.82,509.21,45.16,42.55,86.86,219.35,34.88,5384.06
Rockleigh,Bergen,NJTPA,2019,601.8,144.02,43.4,179.87,8.4,27.71,3418.7,506.68,44.93,42.34,86.43,218.26,34.7,5357.24
Pine Beach,Ocean,NJTPA,2019,594.15,142.19,42.85,177.58,8.29,27.36,3375.27,500.24,44.36,41.81,85.33,215.49,34.26,5289.18
Hampton,Hunterdon,NJTPA,2017,273.77,68.02,25.45,220.75,11.09,19.79,3627.1,667.92,19.15,72.26,73.62,178.98,19.42,5277.32
Far Hills,Somerset,NJTPA,2019,586.64,140.4,42.31,175.34,8.19,27.01,3332.6,493.92,43.8,41.28,84.25,212.76,33.83,5222.31
Lavallette,Ocean,NJTPA,2017,102.78,25.54,31.32,275.56,7.49,38.27,3705.03,833.78,18.19,39.81,26.86,65.2,24.27,5194.11
Woodlynne,Camden,DVRPC,2019,196.48,78.98,67.75,215.45,12.62,33.07,1767.31,1874.9,69.8,57.35,145.6,232.61,31.59,5131.17
Pemberton,Burlington,DVRPC,2015,131.53,406.91,30.45,418.66,13.75,21.16,2042.56,2253.5,35.66,34.18,130.72,258.92,19.8,5084.51
Sandyston,Sussex,NJTPA,2019,565.86,135.42,40.81,169.12,7.9,26.05,3214.54,476.42,42.25,39.81,81.27,205.22,32.63,5037.31
Beverly,Burlington,DVRPC,2015,130.07,402.41,30.12,414.03,13.6,20.93,2019.95,2228.55,35.27,33.8,129.27,256.05,19.58,5028.21
Lake Como,Monmouth,NJTPA,2019,563.46,134.85,40.64,168.41,7.86,25.94,3200.9,474.4,42.07,39.65,80.92,204.35,32.49,5015.93
Far Hills,Somerset,NJTPA,2017,1475.74,366.63,12.53,75.83,8.01,7.2,2158.68,229.45,37.28,19.14,145.9,353.83,9.73,4899.96
Alpine,Bergen,NJTPA,2019,531.13,127.39,31.31,161.58,7.97,12.14,3128.52,457.15,43.52,42.42,88.85,225,25.14,4882.13
Ocean Gate,Ocean,NJTPA,2019,543.32,130.03,39.18,162.39,7.58,25.01,3086.49,457.44,40.57,38.23,78.03,197.05,31.33,4836.64
Essex Fells,Essex,NJTPA,2019,530.85,127.05,38.28,158.66,7.41,24.44,3015.68,446.95,39.64,37.35,76.24,192.53,30.61,4725.69
Essex Fells,Essex,NJTPA,2017,123.12,30.59,77.04,181.71,0.11,46.82,3563.37,549.8,2.44,54.22,6.91,16.77,60.05,4712.95
Sea Isle City,Cape May,SJTPO,2015,261.65,302.38,98.87,327.58,42.28,28.42,1619.57,2604.85,67.56,61.33,81.07,393.38,45.36,4704.03
Milford,Hunterdon,NJTPA,2019,523.93,125.39,37.79,156.59,7.31,24.12,2976.35,441.12,39.12,36.86,75.25,190.02,30.21,4664.05
Island Heights,Ocean,NJTPA,2019,522.93,125.15,37.71,156.29,7.3,24.08,2970.65,440.27,39.04,36.79,75.1,189.65,30.16,4655.13
Chesilhurst,Camden,DVRPC,2019,178.18,71.63,61.44,195.38,11.44,29.99,1602.67,1700.25,63.29,52,132.04,210.94,28.65,4653.17
Chesilhurst,Camden,DVRPC,2015,118.83,367.63,27.51,378.24,12.43,19.12,1845.37,2035.95,32.22,30.88,118.1,233.92,17.88,4593.64
Seaside Park,Ocean,NJTPA,2019,511.24,122.35,36.87,152.8,7.14,23.54,2904.27,430.44,38.17,35.97,73.42,185.42,29.48,4551.11
Victory Gardens,Morris,NJTPA,2019,509.75,121.99,36.76,152.35,7.11,23.47,2895.78,429.18,38.06,35.87,73.21,184.87,29.4,4537.8
Avalon,Cape May,SJTPO,2015,248.6,287.3,93.94,311.24,40.17,27,1538.81,2474.95,64.19,58.27,77.03,373.76,43.1,4469.44
Washington,Burlington,DVRPC,2019,169.64,68.19,58.5,186.01,10.89,28.55,1525.86,1618.75,60.26,49.51,125.71,200.83,27.28,4430.14
Shrewsbury,Monmouth,NJTPA,2017,411.64,102.27,27.13,166.76,4.99,22.13,2888.78,504.56,19.86,31.64,64.36,156.25,21.07,4421.44
Sea Bright,Monmouth,NJTPA,2017,67.62,16.8,14.17,202.75,4.21,19.41,3251.99,613.47,14.38,36.9,38.79,94.19,11.1,4385.77
Allentown,Monmouth,NJTPA,2017,34.04,8.46,2.79,160.52,2.12,66.8,3470.27,485.7,7.23,7.28,19.49,47.34,2.19,4314.23
Longport,Atlantic,SJTPO,2020,167.19,79.04,64.4,230.77,1.43,23.75,1568.53,1485.48,13.78,23.89,105.48,206.52,29.67,4314.06
Ocean Gate,Ocean,NJTPA,2017,61.07,15.17,24.2,271.84,5.7,44.33,2916.01,822.52,13.83,30.76,20.43,49.59,18.75,4294.2
Deal,Monmouth,NJTPA,2019,481.66,115.27,34.74,143.96,6.72,22.18,2736.24,405.53,35.96,33.89,69.18,174.69,27.78,4287.79
Pine Beach,Ocean,NJTPA,2017,122.91,30.54,32.55,227.89,17.98,31.77,2788.02,689.55,43.68,41.38,64.49,156.58,25.22,4272.57
Stow Creek,Cumberland,SJTPO,2020,102.23,89.29,173.6,222.19,2.45,34.46,1435.63,1495.21,15.64,77.1,109.76,245.97,41.92,4266.21
Woodlynne,Camden,DVRPC,2015,109.84,339.82,25.43,349.64,11.49,17.67,1705.8,1881.96,29.78,28.54,109.17,216.23,16.53,4246.22
Hardwick,Warren,NJTPA,2019,474.1,113.46,34.19,141.7,6.62,21.83,2693.3,399.17,35.4,33.36,68.09,171.95,27.34,4220.51
Laurel Springs,Camden,DVRPC,2015,108.39,335.35,25.1,345.03,11.33,17.44,1683.33,1857.17,29.39,28.17,107.73,213.38,16.31,4190.26
Rocky Hill,Somerset,NJTPA,2017,41.18,10.23,26.19,192.33,0.88,17.68,3107.3,581.95,4.11,40.02,16.07,38.97,20.35,4097.27
Avon-by-the-Sea,Monmouth,NJTPA,2017,41.29,10.26,11.08,193.37,2.03,27.77,3084.75,585.09,6.92,28.87,18.65,45.29,8.68,4064.04
Califon,Hunterdon,NJTPA,2019,453.55,108.54,32.71,135.56,6.33,20.88,2576.53,381.86,33.86,31.91,65.14,164.49,26.15,4037.52
Longport,Atlantic,SJTPO,2015,361.33,212.49,67.13,228.5,11.22,21.73,1315.43,1983.46,29.63,57.3,84.85,228.08,30.32,3820.66
Stow Creek,Cumberland,SJTPO,2015,442.76,72.25,88.7,185.38,17.35,25.79,1225.44,2069.11,27.96,131.02,222.03,185.95,39.96,3816.88
Elmer,Salem,SJTPO,2015,392.29,61.16,45.55,152.85,17.23,32.01,1159.43,2224.5,21.87,63.52,188.93,139.14,20.11,3757.77
Lake Como,Monmouth,NJTPA,2017,32.4,8.05,2.46,144.29,0.05,51.06,3036.9,436.58,0.18,6.41,0.49,1.2,1.93,3722.01
East Newark,Hudson,NJTPA,2019,417.8,99.99,30.13,124.87,5.83,19.24,2373.43,351.76,31.19,29.4,60,151.53,24.09,3719.26
Branchville,Sussex,NJTPA,2019,415.47,99.43,29.96,124.17,5.8,19.13,2360.19,349.8,31.02,29.23,59.67,150.68,23.96,3698.5
Island Heights,Ocean,NJTPA,2017,343.4,85.31,22.61,138.11,4.16,18.36,2409.2,417.89,16.57,26.36,53.7,130.37,17.56,3683.61
South Hackensack,Bergen,NJTPA,2017,165.08,41.01,45.86,153.33,0.85,13.16,2603.82,463.94,7.83,33.88,30.95,75.13,35.61,3670.44
Beach Haven,Ocean,NJTPA,2019,411.28,98.43,29.66,122.92,5.74,18.94,2336.4,346.27,30.71,28.94,59.07,149.16,23.72,3661.23
Califon,Hunterdon,NJTPA,2017,64.74,16.09,10.85,221.09,2.08,37.21,2494.29,668.98,3.59,30.82,13.8,33.55,8.28,3605.37
Cape May,Cape May,SJTPO,2015,199.98,231.11,75.57,250.37,32.31,21.72,1237.84,1990.89,51.63,46.88,61.96,300.66,34.67,3595.3
Wildwood,Cape May,SJTPO,2020,98.23,57.07,46.9,196.88,2.32,26.45,1096.54,1307.76,13.74,14.65,149.26,210.79,20.55,3482.4
Washington,Burlington,DVRPC,2015,88.78,274.68,20.56,282.61,9.28,14.28,1378.78,1521.17,24.07,23.07,88.24,174.78,13.36,3432.17
Bloomsbury,Hunterdon,NJTPA,2019,385.43,92.24,27.8,115.2,5.38,17.75,2189.59,324.51,28.78,27.12,55.36,139.79,22.23,3431.17
Bay Head,Ocean,NJTPA,2019,385.42,92.24,27.8,115.19,5.38,17.74,2189.49,324.5,28.78,27.12,55.35,139.78,22.23,3431.02
Roosevelt,Monmouth,NJTPA,2017,86.09,21.39,14.11,158.96,3.63,31.7,2425.05,480.98,12.4,36.76,33.44,81.2,11.06,3396.78
Winfield,Union,NJTPA,2019,381.11,91.21,27.49,113.91,5.32,17.55,2165.02,320.87,28.45,26.82,54.73,138.22,21.98,3392.67
Hi-Nella,Camden,DVRPC,2019,129.39,52.01,44.62,141.88,8.31,21.78,1163.84,1234.7,45.96,37.76,95.88,153.18,20.8,3379.07
Beach Haven,Ocean,NJTPA,2017,93.54,23.24,38.23,241.08,1.61,13.57,2045.08,729.45,3.91,48.6,5.78,14.03,29.63,3287.76
Deal,Monmouth,NJTPA,2017,52.22,12.97,10.99,160.39,1.85,18.78,2403.49,485.3,6.31,28.63,17.02,41.34,8.61,3247.9
Downe,Cumberland,SJTPO,2020,75.02,65.53,127.4,163.06,1.8,25.29,1053.55,1097.27,11.48,56.58,80.55,180.5,30.76,3130.79
Victory Gardens,Morris,NJTPA,2017,55.02,13.67,28.91,160.6,1.46,3.33,2163.45,485.95,5.73,47.51,20.1,48.78,22.4,3056.91
Stone Harbor,Cape May,SJTPO,2020,85.2,49.5,40.68,170.76,2.01,22.94,951.06,1134.25,11.92,12.71,129.46,182.82,17.82,3020.37
Audubon Park,Camden,DVRPC,2019,112.68,45.3,38.86,123.56,7.24,18.97,1013.55,1075.25,40.03,32.89,83.5,133.4,18.12,2942.72
Roosevelt,Monmouth,NJTPA,2019,328.8,78.69,23.71,98.27,4.59,15.14,1867.88,276.83,24.55,23.13,47.22,119.25,18.96,2927.04
Downe,Cumberland,SJTPO,2015,331.94,54.17,66.5,138.98,13.01,19.34,918.73,1551.25,20.96,98.22,166.46,139.41,29.96,2861.57
Branchville,Sussex,NJTPA,2017,89.71,22.29,8.48,218,12.96,17.73,1572.05,659.62,20.16,21.51,60.56,147.22,6.6,2856.89
Allentown,Monmouth,NJTPA,2019,315.95,75.61,22.79,94.43,4.41,14.55,1794.84,266.01,23.59,22.23,45.38,114.59,18.22,2812.58
Seaside Park,Ocean,NJTPA,2017,105.63,26.24,20.46,200.73,3.67,14.24,1733.24,607.36,8.92,26.01,13.17,31.98,15.85,2807.5
Stockton,Hunterdon,NJTPA,2017,36.75,9.13,8.28,155.08,0.75,25.09,2054.71,469.22,1.29,23.51,4.97,12.08,6.32,2807.17
Rocky Hill,Somerset,NJTPA,2019,313.97,75.14,22.64,93.84,4.38,14.46,1783.62,264.35,23.44,22.09,45.09,113.87,18.11,2795.01
Bay Head,Ocean,NJTPA,2017,32.82,8.15,21.67,137.65,1.37,16,2087.98,416.51,3.33,27.55,4.91,11.93,16.8,2786.68
Wildwood,Cape May,SJTPO,2015,154.76,178.86,58.48,193.76,25.01,16.81,957.96,1540.74,39.96,36.28,47.95,232.68,26.83,2782.38
Wildwood Crest,Cape May,SJTPO,2020,78.42,45.56,37.44,157.17,1.85,21.12,875.36,1043.98,10.97,11.69,119.16,168.27,16.4,2779.98
Fieldsboro,Burlington,DVRPC,2019,91.48,36.77,31.54,100.31,5.87,15.4,822.85,872.95,32.5,26.7,67.79,108.3,14.71,2389.04
Audubon Park,Camden,DVRPC,2015,58.72,181.67,13.6,186.92,6.14,9.45,911.92,1006.1,15.92,15.26,58.36,115.6,8.84,2270.03
Wildwood Crest,Cape May,SJTPO,2015,123.2,142.38,46.55,154.24,19.91,13.38,762.57,1226.48,31.81,28.88,38.17,185.22,21.36,2214.86
Stone Harbor,Cape May,SJTPO,2015,119.11,137.65,45.01,149.12,19.25,12.94,737.26,1185.78,30.75,27.92,36.91,179.07,20.65,2141.36
Winfield,Union,NJTPA,2017,197.56,49.08,13.02,80.95,2.4,10.57,1392.01,244.94,9.56,15.18,30.97,75.18,10.11,2131.52
Andover,Sussex,NJTPA,2017,35.83,8.9,8.01,145.96,5.38,9.63,1188.06,441.63,8.36,20.32,25.12,61.06,6.23,1964.49
Hi-Nella,Camden,DVRPC,2015,50.14,155.11,11.61,159.59,5.24,8.07,778.62,859.03,13.6,13.03,49.83,98.7,7.55,1938.21
Andover,Sussex,NJTPA,2019,214.76,51.4,15.49,64.19,3,9.89,1219.99,180.81,16.03,15.11,30.84,77.89,12.38,1911.77
Elsinboro,Salem,SJTPO,2020,31.37,36.78,12.82,95.59,0.77,12.43,629.29,750.73,4.01,21.31,22.7,76.14,10.38,1906.63
Allenhurst,Monmouth,NJTPA,2019,212.41,50.84,15.32,63.49,2.96,9.78,1206.68,178.84,15.86,14.95,30.51,77.04,12.25,1890.91
Harvey Cedars,Ocean,NJTPA,2017,51.45,12.78,18.9,122.98,3.41,9.05,1197.83,372.11,8.28,24.02,12.23,29.68,14.65,1877.36
Surf City,Ocean,NJTPA,2017,16.53,4.11,17.6,112.29,2.51,17.57,1265.13,339.77,6.09,22.37,8.99,21.82,13.64,1848.42
Fieldsboro,Burlington,DVRPC,2015,45.94,142.14,10.64,146.25,4.8,7.39,713.5,787.19,12.46,11.94,45.66,90.45,6.91,1776.11
Interlaken,Monmouth,NJTPA,2017,18.63,4.63,0.93,66.37,0.81,26.44,1290.26,200.82,2.77,2.42,7.46,18.11,0.73,1640.36
Elsinboro,Salem,SJTPO,2015,170.76,26.62,19.83,66.53,7.5,13.93,504.69,968.3,9.52,27.65,82.24,60.56,8.75,1635.71
Interlaken,Monmouth,NJTPA,2019,183.11,43.82,13.21,54.73,2.56,8.43,1040.2,154.17,13.67,12.88,26.3,66.41,10.56,1630.03
