Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Lower Alloways Creek,Salem,SJTPO,2020,239945,293345,80327,1424467,9039,234849,9372105,12974070,13913,173292,160379,521565,62999,25558917
Glen Ridge ,Essex,NJTPA,2019,1353903,337842,80009,786240,28857,153570,14881448,2567783,45573,101279,178782,437703,61966,21014955
Oceanport ,Monmouth,NJTPA,2017,47568,11819,79587,1748187,13065,672271,50061376,5289599,44596,207288,120251,292005,62351,58649963
Sea Isle City ,Cape May,SJTPO,2020,203159,123070,79484,793367,7308,135145,4415916,6111251,12883,32215,285183,390461,33728,12623166
Paulsboro ,Gloucester,DVRPC,2015,242199,750419,79409,2791240,43675,222346,19066197,15024258,111173,91321,412929,817917,51616,39704700
Woodland,Burlington,DVRPC,2019,280920,117749,79376,600187,27520,116800,4920212,6056995,45246,87180,192312,297871,35851,12858220
Palmyra ,Burlington,DVRPC,2015,241195,747308,79080,2779668,43494,221424,18987149,14961968,110712,90942,411217,814526,51402,39540085
Matawan ,Monmouth,NJTPA,2017,34083,8468,78857,2339152,10666,733551,66078230,7077722,36563,201595,99006,240412,61764,77000069
Waldwick ,Bergen,NJTPA,2017,690043,171434,78702,3564372,5388,461883,53583612,10784955,49652,58136,196351,476645,61106,70182279
Wantage,Sussex,NJTPA,2017,299990,74529,77586,3804104,73216,731825,54084696,11510323,113906,196862,342126,831634,60408,72201205
Point Pleasant Beach ,Ocean,NJTPA,2017,66506,16523,76963,1489319,20847,367801,29007194,4506328,50642,97828,74767,181524,59639,36015881
Franklin,Warren,NJTPA,2019,1299963,324383,76822,754916,27707,147452,14288565,2465482,43758,97244,171659,420265,59497,20177713
Teterboro ,Bergen,NJTPA,2017,2194013,545079,76324,2790160,11581,289283,67496597,8442368,106737,56379,422095,1024643,59258,83514517
