Municipality Name,County,MPO,Year,Combination Long-Haul Truck,Combination Short-Haul Truck,Intercity Bus,Light Commercial Trucks,Motor Home,Motorcycles,Passenger Cars,Passenger Trucks,Refuse Truck,School Bus,Single Unit Long-Haul Truck,Single Unit Short-Haul Truck,Transit Bus,Total
Ocean Gate ,Ocean,NJTPA,2019,612355,152802,36187,355608,13052,69458,6730712,1161380,20612,45807,80861,197968,28027,9504829
South Bound Brook ,Somerset,NJTPA,2017,41266,10252,36148,770946,5685,109684,17549537,2332702,26451,55225,103520,251047,28084,21320547
Elmer ,Salem,SJTPO,2020,107892,131903,36119,640516,4064,105601,4214199,5833835,6256,77921,72115,234524,28328,11492654
West Amwell,Hunterdon,NJTPA,2017,869231,215951,35729,973859,89044,170852,23168138,2946668,153783,101432,591281,1437428,27261,30780657
Delaware,Hunterdon,NJTPA,2017,83454,20734,35599,1461472,14857,340953,28159143,4422069,25660,101065,98658,239843,27162,35030669
Island Heights ,Ocean,NJTPA,2019,599044,149481,35401,347877,12768,67948,6584402,1136134,20164,44812,79103,193665,27417,9298216
Roosevelt ,Monmouth,NJTPA,2019,597649,149133,35318,347068,12738,67790,6569071,1133489,20117,44707,78919,193214,27354,9276567
Branchville ,Sussex,NJTPA,2019,597366,149062,35302,346903,12732,67758,6565955,1132951,20108,44686,78882,193122,27341,9272168
Audubon Park ,Camden,DVRPC,2019,123419,51732,34873,263685,12091,51315,2161636,2661068,19878,38302,84490,130866,15751,5649105
Spring Lake Heights ,Monmouth,NJTPA,2017,15186,3773,34835,1125590,5167,295205,28305329,3405771,17636,90730,47555,115477,27291,33489545
National Park ,Gloucester,DVRPC,2015,105084,325589,34454,1211051,18950,96471,8272360,6518661,48235,39622,179160,354874,22395,17226905
Essex Fells ,Essex,NJTPA,2019,582319,145307,34412,338165,12412,66051,6400572,1104414,19601,43560,76895,188258,26652,9038618
Victory Gardens ,Morris,NJTPA,2019,580395,144827,34299,337048,12371,65833,6379420,1100764,19537,43416,76641,187636,26564,9008751
Brielle ,Monmouth,NJTPA,2017,86412,21468,34178,1221090,13656,245735,28684742,3694732,46617,89020,125705,305248,26776,34595379
Manasquan ,Monmouth,NJTPA,2017,34592,8594,34090,1383231,9617,462927,36104454,4185330,32829,88790,88524,214964,26707,42674649
Neptune,Monmouth,NJTPA,2017,26121,6490,33638,1033114,6700,292926,25576406,3125960,22874,87612,61679,149776,26353,30449649
Wildwood Crest ,Cape May,SJTPO,2020,85890,52030,33603,335412,3089,57135,1866920,2583658,5447,13620,120567,165075,14259,5336704
Wildwood Crest ,Cape May,SJTPO,2015,62538,72381,33462,283473,17426,38757,1962227,2254127,27334,21270,33241,161291,15353,4767861
Penns Grove ,Salem,SJTPO,2020,99913,122149,33448,593148,3764,97791,3902541,5402398,5793,72159,66782,217180,26233,10642723
Seaside Park ,Ocean,NJTPA,2019,560649,139900,33132,325581,11950,63593,6162379,1063314,18872,41939,74033,181252,25660,8702254
Elmer ,Salem,SJTPO,2015,199138,31094,32742,280919,15080,92716,2983450,4088385,18789,46782,164520,121163,14455,8089232
Ship Bottom ,Ocean,NJTPA,2017,31118,7731,32443,659881,10122,153915,11234864,1996646,24590,41239,36304,88142,25140,14342135
Stone Harbor ,Cape May,SJTPO,2015,60462,69979,32351,274065,16847,37471,1897110,2179324,26427,20564,32138,155938,14843,4609639
Hardwick,Warren,NJTPA,2019,543689,135668,32130,315731,11588,61670,5975972,1031150,18301,40671,71794,175769,24884,8439017
Fair Haven ,Monmouth,NJTPA,2017,14929,3709,31896,954376,4893,295442,23867969,2887718,16702,83076,45038,109365,24988,28340101
Ho-Ho-Kus ,Bergen,NJTPA,2017,543694,135075,31844,1268016,2745,107180,22010534,3836718,25295,23522,100031,242827,24724,28352205
Lafayette,Sussex,NJTPA,2017,115025,28577,31676,1747082,29553,277908,20544485,5286260,45977,80372,138096,335682,24662,28685355
Haworth ,Bergen,NJTPA,2017,90267,22426,31522,1305378,1002,156039,15863989,3949767,9241,23284,36542,88705,24474,21602636
Brooklawn ,Camden,DVRPC,2015,94475,292717,30975,1088784,17036,86731,7437184,5860538,43366,35622,161072,319046,20134,15487680
Deal ,Monmouth,NJTPA,2019,509063,127028,30083,295623,10850,57742,5595371,965477,17135,38080,67221,164575,23299,7901547
East Newark ,Hudson,NJTPA,2019,502780,125460,29712,291975,10716,57029,5526315,953562,16924,37610,66392,162544,23012,7804031
Riverton ,Burlington,DVRPC,2015,89875,278465,29467,1035771,16207,82508,7075070,5575190,41254,33887,153229,303512,19154,14733590
Rocky Hill ,Somerset,NJTPA,2019,496722,123948,29354,288457,10587,56342,5459731,942073,16720,37157,65592,160585,22734,7710002
Califon ,Hunterdon,NJTPA,2019,492188,122817,29086,285824,10490,55828,5409891,933473,16567,36818,64993,159119,22527,7639621
Newfield ,Gloucester,DVRPC,2015,88666,274719,29071,1021838,15989,81398,6979897,5500193,40699,33431,151168,299429,18896,14535395
Frenchtown ,Hunterdon,NJTPA,2017,26020,6464,28859,958484,9343,232073,16935849,2900145,16136,81929,62039,150817,22020,21430178
Glen Gardner ,Hunterdon,NJTPA,2017,178919,44451,28566,447901,12147,43448,11522438,1355243,20979,81096,80662,196092,21796,14033738
South Hackensack,Bergen,NJTPA,2017,74163,18425,28505,258212,606,34902,6280647,781289,5581,21056,22072,53579,22132,7601169
Fieldsboro ,Burlington,DVRPC,2019,100198,41998,28311,214073,9816,41660,1754924,2160388,16138,31095,68593,106244,12787,4586225
South Toms River ,Ocean,NJTPA,2017,40668,10104,28049,476316,8182,103336,11320045,1441219,19877,35652,29346,71249,21735,13605778
Bogota ,Bergen,NJTPA,2017,970057,241000,27648,1036744,4846,98068,19457218,3136944,44660,20423,176608,428718,21466,25664400
Fredon,Sussex,NJTPA,2017,176108,43753,27022,1485160,43315,295415,19804660,4493743,67388,68562,202404,492002,21039,27220571
Pine Beach ,Ocean,NJTPA,2017,46026,11435,26946,456316,14656,109405,7708694,1380706,35604,34251,52564,127620,20881,10025104
Wenonah ,Gloucester,DVRPC,2015,82100,254375,26918,946168,14805,75370,6463017,5092889,37685,30956,139974,277256,17497,13459010
Belmar ,Monmouth,NJTPA,2017,17592,4371,26372,1178517,5464,360546,27541268,3565914,18647,68689,50280,122096,20662,32980418
Northvale ,Bergen,NJTPA,2017,107180,26628,26370,1115884,1472,149103,14167225,3376401,13566,19479,53648,130231,20474,19207661
Green Brook,Sussex,NJTPA,2017,103441,25699,25977,1325864,27300,339716,19569440,4011753,42473,65911,127571,310099,20225,25995469
Lavallette ,Ocean,NJTPA,2017,19603,4870,25956,500499,6130,125708,10074874,1514391,14890,32992,21983,53373,20113,12415382
Milford ,Hunterdon,NJTPA,2017,20609,5121,25822,790089,7188,172295,13339294,2390623,12412,73306,47719,116008,19703,17020189
Hamburg ,Sussex,NJTPA,2017,111563,27717,25613,1733441,26692,239634,19410731,5244987,41526,64988,124726,303182,19942,27374742
Victory Gardens ,Morris,NJTPA,2017,8416,2091,25504,313434,1189,21648,5801111,948379,4663,41909,16358,39705,19760,7244167
Sandyston,Sussex,NJTPA,2017,74436,18492,24889,1168023,18048,160404,13511293,3534162,28078,63151,84334,204996,19378,18909684
Bay Head ,Ocean,NJTPA,2019,420207,104855,24832,244023,8956,47663,4618712,796956,14144,31434,55488,135849,19232,6522351
Union Beach ,Monmouth,NJTPA,2017,54224,13472,24546,974965,11134,329616,26369606,2950017,38006,63932,102483,248860,19230,31200091
Montague,Sussex,NJTPA,2017,97768,24290,24332,1470198,23888,268481,16388403,4448473,37164,61738,111627,271341,18944,23246647
Helmetta ,Middlesex,NJTPA,2017,44966,11171,24272,439418,1167,74866,10805514,1329576,7232,28599,28214,68505,18877,12882377
Englishtown ,Monmouth,NJTPA,2017,23228,5771,24075,526474,6794,212878,15695020,1592986,23193,62703,62541,151868,18861,18406392
Hampton ,Hunterdon,NJTPA,2017,131168,32587,23753,456914,10147,64742,10685367,1382514,17524,67432,67377,163795,18124,13121444
Alpine ,Bergen,NJTPA,2017,551248,136952,23613,508100,4736,42030,11934465,1537390,43650,17442,172617,419031,18333,15409607
Andover ,Sussex,NJTPA,2019,389296,97142,23006,226072,8297,44157,4278954,738331,13104,29121,51406,125856,17818,6042560
Winfield,Union,NJTPA,2019,385402,96170,22775,223811,8214,43715,4236150,730945,12973,28830,50892,124597,17639,5982113
Greenwich,Cumberland,SJTPO,2015,78693,12861,22323,119291,5317,26156,1104043,1331445,8413,33786,67696,56695,10057,2876775
Pemberton ,Burlington,DVRPC,2015,66766,206865,21891,769451,12040,61293,5255911,4141684,30647,25174,113831,225472,14229,10945255
Stockton ,Hunterdon,NJTPA,2019,369312,92155,21825,214467,7872,41890,4059296,700429,12431,27626,48767,119395,16903,5732368
Beverly ,Burlington,DVRPC,2015,66027,204575,21648,760932,11906,60615,5197721,4095830,30307,24895,112570,222976,14071,10824075
Bradley Beach ,Monmouth,NJTPA,2017,9290,2309,20642,764208,2283,138375,16400878,2312310,7794,53764,21015,51029,16171,19800068
Ocean Gate ,Ocean,NJTPA,2017,7065,1756,20219,530546,4483,153062,7750729,1605305,10890,25700,16077,39033,15667,10180532
Seaside Park ,Ocean,NJTPA,2017,6824,1695,19958,371563,3841,83444,5070452,1124263,9330,25368,13775,33443,15465,6779421
Island Heights ,Ocean,NJTPA,2017,11767,2923,19847,304757,3339,67012,7590380,922125,8112,25228,11976,29076,15380,9011922
Chesilhurst ,Camden,DVRPC,2015,60320,186894,19777,695167,10877,55376,4748496,3741839,27688,22744,102841,203705,12855,9888580
Bloomsbury ,Hunterdon,NJTPA,2017,1128868,280455,19036,421237,51321,71855,9431146,1274565,88632,54041,340784,828459,14524,14004923
Highlands ,Monmouth,NJTPA,2017,33946,8433,18542,858432,8518,283519,20043105,2597414,29078,48294,78410,190404,14527,24212622
Woodlynne ,Camden,DVRPC,2015,55758,172759,18281,642591,10055,51188,4389362,3458839,25594,21024,95063,188298,11883,9140695
Laurel Springs ,Camden,DVRPC,2015,55023,170483,18040,634123,9922,50513,4331522,3413261,25257,20747,93811,185817,11726,9020245
Keansburg ,Monmouth,NJTPA,2017,48849,12136,17950,1233248,19813,780143,41551112,3731518,67636,46752,182383,442880,14063,48148483
Stillwater,Sussex,NJTPA,2017,49588,12319,17925,1522981,15886,410850,21727518,4608183,24715,45480,74234,180446,13955,28704080
Alpine ,Bergen,NJTPA,2019,308982,78662,17784,365668,7116,40168,9595838,1208387,26491,30563,94074,231840,13976,12019549
Monmouth Beach ,Monmouth,NJTPA,2017,22377,5560,17419,638655,5552,179118,16471526,1932422,18953,45369,51108,124105,13647,19525811
Harvey Cedars ,Ocean,NJTPA,2017,4487,1115,17314,250732,3285,47810,3674124,758657,7981,22008,11783,28607,13417,4841320
Rocky Hill ,Somerset,NJTPA,2017,2825,702,16841,313719,508,44171,6944733,949239,2365,25729,9257,22449,13084,8345622
Atlantic Highlands ,Monmouth,NJTPA,2017,38103,9467,16644,845771,9582,328561,21521177,2559104,32713,43350,88212,214204,13039,25719927
Bay Head ,Ocean,NJTPA,2017,2364,587,16347,252729,1011,54262,5568546,764700,2455,20778,3625,8800,12667,6708871
Surf City ,Ocean,NJTPA,2017,908,226,16171,243527,2096,65728,3679071,736855,5090,20554,7514,18245,12531,4808516
Barnegat Light ,Ocean,NJTPA,2017,2083,518,15983,154691,1638,27692,1846301,468057,3978,20316,5873,14258,12385,2573773
Washington,Burlington,DVRPC,2015,45069,139639,14777,519400,8127,41375,3547876,2795744,20687,16993,76839,152200,9605,7388330
Harvey Cedars ,Ocean,NJTPA,2019,243713,60814,14402,141530,5194,27644,2678778,462222,8204,18231,32182,78790,11154,3782858
Elsinboro,Salem,SJTPO,2015,86682,13535,14252,122281,6564,40358,1298658,1779622,8179,20363,71613,52741,6292,3521140
Barnegat Light ,Ocean,NJTPA,2019,240081,59908,14188,139420,5117,27232,2638853,455332,8081,17959,31703,77616,10988,3726478
Winfield,Union,NJTPA,2017,368015,91429,14051,118620,4290,30641,3170852,358916,37243,15091,161783,392569,10862,4774362
Roosevelt ,Monmouth,NJTPA,2017,15770,3918,13972,317592,3227,118149,7085182,960958,11016,36393,29706,72133,10946,8678962
Sussex ,Sussex,NJTPA,2017,60484,15027,13334,1227870,15855,227481,15147512,3715246,24667,33834,74089,180095,10382,20745876
Shrewsbury ,Monmouth,NJTPA,2017,20795,5166,13200,339862,3659,73222,8528922,1028341,12489,34380,33678,81779,10341,10185834
Allenhurst ,Monmouth,NJTPA,2019,221479,55266,13088,128618,4721,25122,2434390,420052,7455,16568,29246,71602,10137,3437744
Far Hills ,Somerset,NJTPA,2017,1079812,268268,12958,187275,12704,29960,8772759,566649,59114,19797,231359,561069,10068,11811792
Sea Bright ,Monmouth,NJTPA,2017,18720,4651,11524,392147,3197,57044,8663234,1186543,10913,30015,29427,71459,9028,10487902
Elsinboro,Salem,SJTPO,2020,34361,42008,11503,203989,1294,33631,1342122,1857937,1992,24816,22967,74690,9022,3660136
Interlaken ,Monmouth,NJTPA,2019,192091,47933,11352,111551,4094,21788,2111371,364316,6466,14369,25365,62101,8792,2981589
West Cape May ,Cape May,SJTPO,2020,26529,16071,10379,103600,954,17648,576642,798024,1682,4207,37240,50987,4404,1648367
Califon ,Hunterdon,NJTPA,2017,2767,686,10239,435431,1776,130237,6928596,1317510,3066,29067,11790,28662,7812,8907639
Audubon Park ,Camden,DVRPC,2015,29808,92357,9773,343529,5375,27365,2346555,1849097,13683,11239,50821,100664,6353,4886620
Farmingdale ,Monmouth,NJTPA,2017,45741,11365,9563,780950,18834,476659,23380958,2362969,64291,24906,173363,420976,7492,27778067
Avon-by-the-Sea ,Monmouth,NJTPA,2017,2039,507,9410,362656,1422,80561,7949724,1097313,4856,24510,13093,31793,7372,9585256
Pine Valley ,Camden,DVRPC,2019,33141,13891,9364,70807,3247,13779,580459,714570,5338,10285,22688,35141,4230,1516940
Deal ,Monmouth,NJTPA,2017,6752,1678,8950,288826,1383,57028,6143504,873919,4721,23309,12730,30913,7011,7460724
Branchville ,Sussex,NJTPA,2017,52864,13134,8742,500834,12794,79444,4988443,1515406,19905,22183,59785,145324,6807,7425665
Spring Lake ,Monmouth,NJTPA,2017,1718,428,8628,568078,401,363721,18081147,1718870,1371,22473,3695,8972,6759,20786261
Hi-Nella ,Camden,DVRPC,2015,25451,78857,8345,293314,4590,23365,2003546,1578804,11682,9596,43392,85950,5424,4172315
West Cape May ,Cape May,SJTPO,2015,14808,17139,7923,67122,4126,9177,464625,533743,6472,5036,7871,38191,3635,1128956
Millstone ,Somerset,NJTPA,2019,130605,32590,7718,75845,2784,14814,1435551,247703,4396,9770,17246,42223,5978,2027223
Fieldsboro ,Burlington,DVRPC,2015,23323,72262,7647,268783,4206,21411,1835985,1446765,10705,8794,39763,78762,4970,3823375
Stockton ,Hunterdon,NJTPA,2017,1552,385,7387,306943,685,84603,5646953,928736,1182,20972,4546,11051,5636,7020631
Andover ,Sussex,NJTPA,2017,18439,4581,7298,327814,4552,33170,3565018,991888,7081,18518,21270,51702,5682,5057013
Cape May Point ,Cape May,SJTPO,2015,13403,15512,7171,60752,3735,8306,420535,483094,5858,4558,7124,34567,3290,1021825
Sea Girt ,Monmouth,NJTPA,2017,4605,1145,6886,488397,4479,316756,15702435,1477775,15290,17936,41229,100117,5395,18182445
Mantoloking ,Ocean,NJTPA,2019,90253,22521,5334,52412,1924,10237,992013,171171,3038,6751,11918,29178,4131,1400881
Mantoloking ,Ocean,NJTPA,2017,1507,375,5096,63699,515,11933,1719695,192739,1250,6477,1846,4481,3949,2013562
Cape May Point ,Cape May,SJTPO,2020,12358,7486,4835,48261,445,8221,268621,371748,784,1960,17348,23752,2052,767868
Corbin City ,Atlantic,SJTPO,2015,16393,9655,4313,37532,878,5625,302512,325795,2275,3772,6604,17750,1948,735050
Millstone ,Somerset,NJTPA,2017,622,155,4177,80122,31,10660,1591867,242431,144,6382,566,1372,3246,1941775
Loch Arbour village,Monmouth,NJTPA,2019,55193,13772,3262,32052,1176,6260,606651,104677,1858,4129,7288,17843,2526,856687
Allenhurst ,Monmouth,NJTPA,2017,4414,1097,3259,137914,841,32738,2900257,417295,2871,8489,7741,18798,2553,3538267
Loch Arbour village,Monmouth,NJTPA,2017,1976,491,3023,50388,344,13122,1093605,152464,1174,7874,3167,7690,2368,1337686
Allentown ,Monmouth,NJTPA,2017,2061,512,2852,319314,1720,214401,9534560,966170,5871,7427,15833,38446,2234,11111401
Tavistock ,Camden,DVRPC,2019,9936,4165,2807,21228,973,4131,174026,214233,1600,3084,6802,10536,1268,454790
Pine Valley ,Camden,DVRPC,2015,7499,23234,2459,86421,1352,6884,590319,465175,3442,2827,12785,25324,1598,1229320
Lake Como ,Monmouth,NJTPA,2017,1693,422,2417,264350,109,156054,7547752,799856,371,6295,1000,2428,1893,8784640
Interlaken ,Monmouth,NJTPA,2017,941,234,1012,126542,659,85621,3480110,382886,2250,2635,6068,14736,792,4104486
West Wildwood ,Cape May,SJTPO,2015,1468,1699,785,6652,409,910,46049,52899,641,499,780,3785,360,111891
West Wildwood ,Cape May,SJTPO,2020,1663,1008,651,6495,60,1106,36151,50030,105,264,2335,3197,276,103340
Ogdensburg ,Sussex,NJTPA,2017,16935,4208,211,831755,10034,228234,13747093,2516695,15612,535,46890,113981,164,17532347
Walpack,Sussex,NJTPA,2019,3180,794,188,1847,68,361,34958,6032,107,238,420,1028,146,49367
Walpack,Sussex,NJTPA,2017,293,73,74,9048,40,5817,36358,27376,61,186,184,448,57,80015
