zip,Zipcode name,City,State,County Name
8741,"PINE BEACH, NJ",PINE BEACH,NJ,OCEAN
8740,"OCEAN GATE, NJ",OCEAN GATE,NJ,OCEAN
8739,"NORMANDY BEACH, NJ",NORMANDY BEACH,NJ,OCEAN
8738,"MANTOLOKING, NJ",MANTOLOKING,NJ,OCEAN
8736,"MANASQUAN, NJ",MANASQUAN,NJ,MONMOUTH
8735,"LAVALLETTE, NJ",LAVALLETTE,NJ,OCEAN
8734,"LANOKA HARBOR, NJ",LANOKA HARBOR,NJ,OCEAN
8733,"LAKEHURST, NJ",LAKEHURST,NJ,OCEAN
8732,"ISLAND HEIGHTS, NJ",ISLAND HEIGHTS,NJ,OCEAN
8731,"FORKED RIVER, NJ",FORKED RIVER,NJ,OCEAN
8730,"BRIELLE, NJ",BRIELLE,NJ,MONMOUTH
8724,"BRICK, NJ",BRICK,NJ,OCEAN
8723,"BRICK, NJ",BRICK,NJ,OCEAN
8722,"BEACHWOOD, NJ",BEACHWOOD,NJ,OCEAN
8721,"BAYVILLE, NJ",BAYVILLE,NJ,OCEAN
8720,"ALLENWOOD, NJ",ALLENWOOD,NJ,MONMOUTH
8701,"LAKEWOOD, NJ",LAKEWOOD,NJ,OCEAN
8691,"TRENTON, NJ",TRENTON,NJ,MERCER
8690,"TRENTON, NJ",TRENTON,NJ,MERCER
8666,"TRENTON, NJ",TRENTON,NJ,MERCER
8650,"TRENTON, NJ",TRENTON,NJ,MERCER
8648,"LAWRENCE TOWNSHIP, NJ",LAWRENCE TOWNSHIP,NJ,MERCER
8647,"TRENTON, NJ",TRENTON,NJ,MERCER
8646,"TRENTON, NJ",TRENTON,NJ,MERCER
8641,"TRENTON, NJ",TRENTON,NJ,BURLINGTON
8640,"FORT DIX, NJ",FORT DIX,NJ,BURLINGTON
8638,"TRENTON, NJ",TRENTON,NJ,MERCER
8629,"TRENTON, NJ",TRENTON,NJ,MERCER
8628,"TRENTON, NJ",TRENTON,NJ,MERCER
8625,"TRENTON, NJ",TRENTON,NJ,MERCER
8620,"TRENTON, NJ",TRENTON,NJ,MERCER
8619,"TRENTON, NJ",TRENTON,NJ,MERCER
8618,"TRENTON, NJ",TRENTON,NJ,MERCER
8611,"TRENTON, NJ",TRENTON,NJ,MERCER
8610,"TRENTON, NJ",TRENTON,NJ,MERCER
8609,"TRENTON, NJ",TRENTON,NJ,MERCER
8608,"TRENTON, NJ",TRENTON,NJ,MERCER
8607,"TRENTON, NJ",TRENTON,NJ,MERCER
8606,"TRENTON, NJ",TRENTON,NJ,MERCER
8605,"TRENTON, NJ",TRENTON,NJ,MERCER
8604,"TRENTON, NJ",TRENTON,NJ,MERCER
8603,"TRENTON, NJ",TRENTON,NJ,MERCER
8602,"TRENTON, NJ",TRENTON,NJ,MERCER
8601,"TRENTON, NJ",TRENTON,NJ,MERCER
8562,"WRIGHTSTOWN, NJ",WRIGHTSTOWN,NJ,BURLINGTON
8561,"WINDSOR, NJ",WINDSOR,NJ,MERCER
8560,"TITUSVILLE, NJ",TITUSVILLE,NJ,MERCER
8559,"STOCKTON, NJ",STOCKTON,NJ,HUNTERDON
8558,"SKILLMAN, NJ",SKILLMAN,NJ,SOMERSET
8557,"SERGEANTSVILLE, NJ",SERGEANTSVILLE,NJ,HUNTERDON
8556,"ROSEMONT, NJ",ROSEMONT,NJ,HUNTERDON
8555,"ROOSEVELT, NJ",ROOSEVELT,NJ,MONMOUTH
8554,"ROEBLING, NJ",ROEBLING,NJ,BURLINGTON
8553,"ROCKY HILL, NJ",ROCKY HILL,NJ,SOMERSET
8551,"RINGOES, NJ",RINGOES,NJ,HUNTERDON
8550,"PRINCETON JUNCTION, NJ",PRINCETON JUNCTION,NJ,MERCER
8544,"PRINCETON, NJ",PRINCETON,NJ,MERCER
8543,"PRINCETON, NJ",PRINCETON,NJ,MERCER
8542,"PRINCETON, NJ",PRINCETON,NJ,MERCER
8541,"PRINCETON, NJ",PRINCETON,NJ,MERCER
8540,"PRINCETON, NJ",PRINCETON,NJ,MERCER
8536,"PLAINSBORO, NJ",PLAINSBORO,NJ,MIDDLESEX
8535,"MILLSTONE TOWNSHIP, NJ",MILLSTONE TOWNSHIP,NJ,MONMOUTH
8534,"PENNINGTON, NJ",PENNINGTON,NJ,MERCER
8533,"NEW EGYPT, NJ",NEW EGYPT,NJ,OCEAN
8530,"LAMBERTVILLE, NJ",LAMBERTVILLE,NJ,HUNTERDON
8528,"KINGSTON, NJ",KINGSTON,NJ,SOMERSET
8527,"JACKSON, NJ",JACKSON,NJ,OCEAN
8526,"IMLAYSTOWN, NJ",IMLAYSTOWN,NJ,MONMOUTH
8525,"HOPEWELL, NJ",HOPEWELL,NJ,MERCER
8520,"HIGHTSTOWN, NJ",HIGHTSTOWN,NJ,MERCER
8518,"FLORENCE, NJ",FLORENCE,NJ,BURLINGTON
8515,"CHESTERFIELD, NJ",CHESTERFIELD,NJ,BURLINGTON
8514,"CREAM RIDGE, NJ",CREAM RIDGE,NJ,MONMOUTH
8512,"CRANBURY, NJ",CRANBURY,NJ,MIDDLESEX
8511,"COOKSTOWN, NJ",COOKSTOWN,NJ,BURLINGTON
8510,"MILLSTONE TOWNSHIP, NJ",MILLSTONE TOWNSHIP,NJ,MONMOUTH
8505,"BORDENTOWN, NJ",BORDENTOWN,NJ,BURLINGTON
8504,"BLAWENBURG, NJ",BLAWENBURG,NJ,SOMERSET
8502,"BELLE MEAD, NJ",BELLE MEAD,NJ,SOMERSET
8501,"ALLENTOWN, NJ",ALLENTOWN,NJ,MONMOUTH
8406,"VENTNOR CITY, NJ",VENTNOR CITY,NJ,ATLANTIC
8405,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
8404,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
8403,"LONGPORT, NJ",LONGPORT,NJ,ATLANTIC
8402,"MARGATE CITY, NJ",MARGATE CITY,NJ,ATLANTIC
8401,"ATLANTIC CITY, NJ",ATLANTIC CITY,NJ,ATLANTIC
8362,"VINELAND, NJ",VINELAND,NJ,CUMBERLAND
8361,"VINELAND, NJ",VINELAND,NJ,CUMBERLAND
8360,"VINELAND, NJ",VINELAND,NJ,CUMBERLAND
8353,"SHILOH, NJ",SHILOH,NJ,CUMBERLAND
8352,"ROSENHAYN, NJ",ROSENHAYN,NJ,CUMBERLAND
8350,"RICHLAND, NJ",RICHLAND,NJ,ATLANTIC
8349,"PORT NORRIS, NJ",PORT NORRIS,NJ,CUMBERLAND
8348,"PORT ELIZABETH, NJ",PORT ELIZABETH,NJ,CUMBERLAND
8347,"NORMA, NJ",NORMA,NJ,SALEM
8346,"NEWTONVILLE, NJ",NEWTONVILLE,NJ,ATLANTIC
8345,"NEWPORT, NJ",NEWPORT,NJ,CUMBERLAND
8344,"NEWFIELD, NJ",NEWFIELD,NJ,GLOUCESTER
8343,"MONROEVILLE, NJ",MONROEVILLE,NJ,SALEM
8342,"MIZPAH, NJ",MIZPAH,NJ,ATLANTIC
8341,"MINOTOLA, NJ",MINOTOLA,NJ,ATLANTIC
8340,"MILMAY, NJ",MILMAY,NJ,ATLANTIC
8332,"MILLVILLE, NJ",MILLVILLE,NJ,CUMBERLAND
8330,"MAYS LANDING, NJ",MAYS LANDING,NJ,ATLANTIC
8329,"MAURICETOWN, NJ",MAURICETOWN,NJ,CUMBERLAND
8328,"MALAGA, NJ",MALAGA,NJ,GLOUCESTER
8327,"LEESBURG, NJ",LEESBURG,NJ,CUMBERLAND
8326,"LANDISVILLE, NJ",LANDISVILLE,NJ,ATLANTIC
8324,"HEISLERVILLE, NJ",HEISLERVILLE,NJ,CUMBERLAND
8323,"GREENWICH, NJ",GREENWICH,NJ,CUMBERLAND
8322,"FRANKLINVILLE, NJ",FRANKLINVILLE,NJ,GLOUCESTER
8321,"FORTESCUE, NJ",FORTESCUE,NJ,CUMBERLAND
8320,"FAIRTON, NJ",FAIRTON,NJ,CUMBERLAND
8319,"ESTELL MANOR, NJ",ESTELL MANOR,NJ,ATLANTIC
8318,"ELMER, NJ",ELMER,NJ,SALEM
8317,"DOROTHY, NJ",DOROTHY,NJ,ATLANTIC
8316,"DORCHESTER, NJ",DORCHESTER,NJ,CUMBERLAND
