Municipality,County,Year,Total_Personal_Vehicles,# of EVs,% of EVs
Hoboken,Hudson,2020,20009,205,1.02%
Morris,Morris,2020,16169,165,1.02%
Swedesboro,Gloucester,2020,1570,16,1.02%
River Vale,Bergen,2020,6916,70,1.01%
Old Tappan,Bergen,2020,4064,41,1.01%
Caldwell,Essex,2020,5256,53,1.01%
Medford,Burlington,2020,17470,174,1.00%
East Windsor,Mercer,2020,16571,165,1.00%
Manasquan,Monmouth,2020,4509,44,0.98%
Califon,Hunterdon,2020,923,9,0.98%
Leonia,Bergen,2020,5551,54,0.97%
Sparta,Sussex,2020,13629,132,0.97%
Scotch Plains,Union,2020,16886,163,0.97%
Point Pleasant Beach,Ocean,2020,3327,32,0.96%
Montvale,Bergen,2020,5634,54,0.96%
Randolph,Morris,2020,17731,169,0.95%
Bedminster,Somerset,2020,6866,65,0.95%
Metuchen,Middlesex,2020,8978,84,0.94%
Piscataway,Middlesex,2020,29930,279,0.93%
West Orange,Essex,2020,27309,254,0.93%
Mahwah,Bergen,2020,17368,161,0.93%
Boonton,Morris,2020,5615,52,0.93%
River Edge,Bergen,2020,7587,70,0.92%
Franklin,Hunterdon,2020,2825,26,0.92%
Highland Park,Middlesex,2020,8593,79,0.92%
Parsippany-Troy Hills,Morris,2020,34525,315,0.91%
Brielle,Monmouth,2020,3293,30,0.91%
Millstone,Somerset,2020,441,4,0.91%
Manalapan,Monmouth,2020,27480,249,0.91%
Secaucus,Hudson,2020,11820,107,0.91%
Alpine,Bergen,2015,1185,11,0.90%
Oradell,Bergen,2020,5657,51,0.90%
Ship Bottom,Ocean,2020,888,8,0.90%
Harrison,Gloucester,2020,8938,80,0.90%
Franklin,Somerset,2020,42932,383,0.89%
West Caldwell,Essex,2020,7859,70,0.89%
Millstone,Monmouth,2020,8474,75,0.89%
West Amwell,Hunterdon,2020,2373,21,0.88%
Washington,Bergen,2020,6674,59,0.88%
Verona,Essex,2020,9179,81,0.88%
Mansfield,Burlington,2020,6595,58,0.88%
Avon-by-the-Sea,Monmouth,2020,1365,12,0.88%
Medford Lakes,Burlington,2020,2960,26,0.88%
Beach Haven,Ocean,2020,797,7,0.88%
Green Brook,Somerset,2020,4790,42,0.88%
Little Silver,Monmouth,2020,4348,38,0.87%
Cedar Grove,Essex,2020,8062,70,0.87%
Somerville,Somerset,2020,7267,63,0.87%
Elmer,Salem,2020,932,8,0.86%
Asbury Park,Monmouth,2020,8588,73,0.85%
Roosevelt,Monmouth,2020,589,5,0.85%
North Brunswick,Middlesex,2020,24070,204,0.85%
Clinton,Hunterdon,2020,8970,76,0.85%
Long Beach,Ocean,2020,2486,21,0.84%
Stockton,Hunterdon,2020,474,4,0.84%
Butler,Morris,2020,5730,48,0.84%
Englewood,Bergen,2020,16850,141,0.84%
Bradley Beach,Monmouth,2020,2751,23,0.84%
Fairfield,Essex,2020,5511,46,0.83%
Jersey City,Hudson,2020,88454,737,0.83%
Shrewsbury,Monmouth,2020,2800,23,0.82%
Haddon,Camden,2020,9835,80,0.81%
Glen Gardner,Hunterdon,2020,1230,10,0.81%
Ramsey,Bergen,2020,10392,84,0.81%
Red Bank,Monmouth,2020,7444,60,0.81%
Linwood,Atlantic,2020,4982,40,0.80%
Matawan,Monmouth,2020,5732,46,0.80%
Eatontown,Monmouth,2020,8370,67,0.80%
Raritan,Hunterdon,2020,16670,133,0.80%
Upper Freehold,Monmouth,2020,5338,42,0.79%
Ocean,Monmouth,2020,18626,146,0.78%
Teaneck,Bergen,2020,22086,173,0.78%
East Greenwich,Gloucester,2020,7796,61,0.78%
Hasbrouck Heights,Bergen,2020,7190,56,0.78%
Hanover,Morris,2020,10681,83,0.78%
Harvey Cedars,Ocean,2020,388,3,0.77%
Delaware,Hunterdon,2020,3752,29,0.77%
Union,Hunterdon,2020,3365,26,0.77%
South Harrison,Gloucester,2020,2215,17,0.77%
North Caldwell,Essex,2020,4827,37,0.77%
Readington,Hunterdon,2020,12780,97,0.76%
Boonton,Morris,2020,3046,23,0.76%
Park Ridge,Bergen,2020,6357,48,0.76%
Lake Como,Monmouth,2020,1336,10,0.75%
Mount Laurel,Burlington,2020,30924,228,0.74%
Washington,Morris,2020,13124,96,0.73%
East Hanover,Morris,2020,8079,59,0.73%
Fanwood,Union,2020,5232,38,0.73%
Collingswood,Camden,2020,9239,67,0.73%
Frenchtown,Hunterdon,2020,966,7,0.72%
Milltown,Middlesex,2020,4894,35,0.72%
Cranford,Union,2020,16659,119,0.71%
Sea Bright,Monmouth,2015,1108,8,0.71%
Seaside Park,Ocean,2020,1563,11,0.70%
Northvale,Bergen,2020,3434,24,0.70%
Island Heights,Ocean,2020,1289,9,0.70%
Hainesport,Burlington,2020,4882,34,0.70%
Long Branch,Monmouth,2020,18358,127,0.69%
Palisades Park,Bergen,2020,10493,72,0.69%
Bordentown,Burlington,2020,2779,19,0.68%
Lebanon,Hunterdon,2020,5122,35,0.68%
Freehold,Monmouth,2020,5562,38,0.68%
Elk,Gloucester,2020,2789,19,0.68%
Atlantic Highlands,Monmouth,2020,3110,21,0.68%
Oakland,Bergen,2020,8908,59,0.66%
Hillsdale,Bergen,2020,7288,48,0.66%
South Bound Brook,Somerset,2020,2891,19,0.66%
Ringwood,Passaic,2020,8988,59,0.66%
Fair Lawn,Bergen,2020,21243,139,0.65%
Wayne,Passaic,2020,35517,232,0.65%
Oldmans,Salem,2020,1229,8,0.65%
Cinnaminson,Burlington,2020,11917,77,0.65%
Southampton,Burlington,2020,7800,50,0.64%
Woodlynne,Camden,2020,1093,7,0.64%
Woolwich,Gloucester,2020,7964,51,0.64%
Rutherford,Bergen,2020,10961,70,0.64%
Shrewsbury,Monmouth,2020,942,6,0.64%
Kingwood,Hunterdon,2020,3142,20,0.64%
Woodstown,Salem,2020,2362,15,0.64%
Port Republic,Atlantic,2020,1104,7,0.63%
Raritan,Somerset,2020,5228,33,0.63%
Riverton,Burlington,2020,1913,12,0.63%
Kinnelon,Morris,2020,7682,48,0.62%
Evesham,Burlington,2020,33027,204,0.62%
Hampton,Hunterdon,2020,973,6,0.62%
Totowa,Passaic,2020,7197,44,0.61%
West New York,Hudson,2020,15432,94,0.61%
Interlaken,Monmouth,2020,657,4,0.61%
Wall,Monmouth,2020,19821,119,0.60%
Egg Harbor City,Atlantic,2020,2041,12,0.59%
Helmetta,Middlesex,2020,1713,10,0.58%
Springfield,Union,2020,12027,70,0.58%
Lower,Cape May,2020,16172,94,0.58%
Hackettstown,Warren,2020,5730,33,0.58%
Rockaway,Morris,2020,4342,25,0.58%
Lumberton,Burlington,2020,8516,49,0.58%
Burlington,Burlington,2020,6107,35,0.57%
Branchburg,Somerset,2020,11119,63,0.57%
Midland Park,Bergen,2020,5123,29,0.57%
Merchantville,Camden,2020,2120,12,0.57%
Logan,Gloucester,2020,4075,23,0.56%
Bloomsbury,Hunterdon,2020,709,4,0.56%
Bogota,Bergen,2020,4792,27,0.56%
Emerson,Bergen,2020,5155,29,0.56%
Seaside Heights,Ocean,2020,1432,8,0.56%
Pilesgrove,Salem,2020,3084,17,0.55%
Surf City,Ocean,2020,1094,6,0.55%
Bloomfield,Essex,2020,28742,156,0.54%
Freehold,Monmouth,2020,23664,128,0.54%
Ridgefield Park,Bergen,2020,7146,38,0.53%
New Milford,Bergen,2020,10211,54,0.53%
Woodland Park,Passaic,2020,7975,42,0.53%
Far Hills,Somerset,2015,800,4,0.53%
Tinton Falls,Monmouth,2020,12388,65,0.52%
Barrington,Camden,2020,4958,26,0.52%
Eagleswood,Ocean,2020,1148,6,0.52%
Hardwick,Warren,2020,1152,6,0.52%
Old Bridge,Middlesex,2020,44998,234,0.52%
Brigantine,Atlantic,2020,6590,34,0.52%
Mount Olive,Morris,2020,19819,102,0.51%
Gibbsboro,Camden,2020,1557,8,0.51%
Ventnor City,Atlantic,2020,6068,31,0.51%
Point Pleasant,Ocean,2020,14322,73,0.51%
Haddon Heights,Camden,2020,5504,28,0.51%
South Plainfield,Middlesex,2020,16529,84,0.51%
Bethlehem,Hunterdon,2020,3349,17,0.51%
Egg Harbor,Atlantic,2020,28220,142,0.50%
Wenonah,Gloucester,2020,1593,8,0.50%
Mount Holly,Burlington,2020,5580,28,0.50%
Middletown,Monmouth,2020,46745,233,0.50%
Harrison,Hudson,2020,7223,36,0.50%
Sussex,Sussex,2020,1204,6,0.50%
Oceanport,Monmouth,2020,4623,23,0.50%
Howell,Monmouth,2020,35755,177,0.50%
Clark,Union,2020,11316,56,0.49%
Mansfield,Warren,2020,4903,24,0.49%
East Newark,Hudson,2020,819,4,0.49%
Sayreville,Middlesex,2020,29313,143,0.49%
Pitman,Gloucester,2020,5955,29,0.49%
Franklin,Warren,2020,2471,12,0.49%
High Bridge,Hunterdon,2020,2680,13,0.49%
Nutley,Essex,2020,18561,90,0.48%
Mantua,Gloucester,2020,10543,51,0.48%
Moonachie,Bergen,2020,1461,7,0.48%
Watchung,Somerset,2015,4166,20,0.47%
Hamburg,Sussex,2020,2337,11,0.47%
New Hanover,Burlington,2020,1913,9,0.47%
Woodbridge,Middlesex,2020,59139,278,0.47%
Keyport,Monmouth,2020,4682,22,0.47%
Jackson,Ocean,2020,40229,189,0.47%
Greenwich,Warren,2020,3867,18,0.47%
East Rutherford,Bergen,2020,6252,29,0.46%
Alexandria,Hunterdon,2020,4097,19,0.46%
Bergenfield,Bergen,2020,15318,71,0.46%
Hammonton,Atlantic,2020,9278,43,0.46%
Woodland,Burlington,2020,1295,6,0.46%
Oaklyn,Camden,2020,2819,13,0.46%
Highlands,Monmouth,2020,3713,17,0.46%
Middle,Cape May,2020,13110,60,0.46%
Newfield,Gloucester,2020,1093,5,0.46%
Frankford,Sussex,2020,4193,19,0.45%
Frelinghuysen,Warren,2020,1552,7,0.45%
Maywood,Bergen,2020,6228,28,0.45%
Hopewell,Mercer,2015,1424,6,0.45%
Toms River,Ocean,2020,64822,291,0.45%
Aberdeen,Monmouth,2020,14375,64,0.45%
Florence,Burlington,2020,9006,40,0.44%
North Hanover,Burlington,2020,4970,22,0.44%
Spotswood,Middlesex,2020,5654,25,0.44%
Prospect Park,Passaic,2020,2489,11,0.44%
Hope,Warren,2020,1590,7,0.44%
Upper Pittsgrove,Salem,2020,2506,11,0.44%
Salem,Salem,2020,2056,9,0.44%
Pemberton,Burlington,2020,1150,5,0.43%
Folsom,Atlantic,2020,1150,5,0.43%
Allamuchy,Warren,2020,3912,17,0.43%
Pompton Lakes,Passaic,2020,7385,32,0.43%
Waldwick,Bergen,2020,6463,28,0.43%
Shamong,Burlington,2020,4859,21,0.43%
Stafford,Ocean,2020,20829,90,0.43%
Riverdale,Morris,2020,3258,14,0.43%
Hamilton,Mercer,2020,60294,256,0.42%
Green,Sussex,2020,2592,11,0.42%
Bound Brook,Somerset,2020,5656,24,0.42%
Washington,Gloucester,2020,33559,142,0.42%
Winslow,Camden,2020,24874,105,0.42%
South Hackensack,Bergen,2020,1424,6,0.42%
Carlstadt,Bergen,2020,4047,17,0.42%
Garwood,Union,2020,2860,12,0.42%
Wharton,Morris,2020,4081,17,0.42%
Bordentown,Burlington,2020,8691,36,0.41%
Blairstown,Warren,2020,4599,19,0.41%
Rockaway,Morris,2020,18459,76,0.41%
Byram,Sussex,2020,6326,26,0.41%
Springfield,Burlington,2020,2677,11,0.41%
South Amboy,Middlesex,2020,5605,23,0.41%
Hawthorne,Passaic,2020,12681,52,0.41%
Little Falls,Passaic,2020,9770,40,0.41%
Upper,Cape May,2020,9527,39,0.41%
Dumont,Bergen,2020,11788,48,0.41%
Cliffside Park,Bergen,2020,14008,57,0.41%
Dennis,Cape May,2020,4928,20,0.41%
Berlin,Camden,2020,4957,20,0.40%
Clifton,Passaic,2020,49029,197,0.40%
Palmyra,Burlington,2020,4736,19,0.40%
Washington,Burlington,2020,499,2,0.40%
Woodbury,Gloucester,2020,5994,24,0.40%
Andover,Sussex,2015,525,2,0.40%
Milford,Hunterdon,2020,1011,4,0.40%
Sandyston,Sussex,2020,1519,6,0.39%
Newton,Sussex,2020,5360,21,0.39%
Guttenberg,Hudson,2020,4619,18,0.39%
Ridgefield,Bergen,2020,6673,26,0.39%
Wanaque,Passaic,2020,8215,32,0.39%
Hi-Nella,Camden,2020,778,3,0.39%
Vernon,Sussex,2020,17451,67,0.38%
Hackensack,Bergen,2020,23567,90,0.38%
Bloomingdale,Passaic,2020,5248,20,0.38%
Burlington,Burlington,2020,15220,58,0.38%
Bass River,Burlington,2020,1051,4,0.38%
Haledon,Passaic,2020,4477,17,0.38%
Audubon Park,Camden,2020,792,3,0.38%
Knowlton,Warren,2020,2377,9,0.38%
Hazlet,Monmouth,2020,14045,53,0.38%
Deptford,Gloucester,2020,20479,77,0.38%
Rumson,Monmouth,2015,4817,18,0.38%
Tabernacle,Burlington,2020,6157,23,0.37%
Absecon,Atlantic,2020,5392,20,0.37%
Roxbury,Morris,2020,17015,63,0.37%
Princeton,Mercer,2015,14615,54,0.37%
Mount Ephraim,Camden,2020,3523,13,0.37%
